"variable","description","polygone","area","moyenne.echantillon","ecart.type.echantillon","n","moyenne","ecart.type","int.conf.bas","int.conf.haut","moyenne.CV","deviation.absolue.CV","ecart.type.CV"
"COM","Crabes commerciaux","gulf",57842.8460132939,71559.2334509166,101056.885988533,353,69701.5020263081,4766.23654385136,60826.2810270567,79499.9796270319,-0.00411831713595278,0.969319950779245,1.63294413035392
"COMSC12","Crabes commerciaux, condition de carapace 1,2","gulf",57842.8460132939,51557.4281204094,87970.3413636067,353,50444.2353327561,4066.69782961482,42943.1625876845,58872.9260922672,-0.012593179783766,0.807270814463433,1.44531747898322
"COMSC345","Crabes commerciaux, condition de carapace 3,4,5","gulf",57842.8460132939,20001.8053305072,33562.2359595617,353,19107.2654785037,1558.15957332018,16235.3054188458,22338.709513794,0.00296173233775236,0.325585544399835,0.539878308494899
"COM","Crabes commerciaux","zone12_expanded",54029.4254629879,64583.0999647812,94815.817133924,329,63319.454033909,4548.22717029125,54872.7375275054,72691.3446009136,-0.015758753430482,0.948732584091146,1.64052482903008
"COMSC12","Crabes commerciaux, condition de carapace 1,2","zone12_expanded",54029.4254629879,48393.8307952849,83687.6731404706,329,47235.4136576001,3854.14290220674,40131.8123009154,55228.7076037113,-0.0103163614840145,0.800059688136476,1.46597730117137
"COMSC345","Crabes commerciaux, condition de carapace 3,4,5","zone12_expanded",54029.4254629879,16189.2691694963,26532.5221777115,329,15984.5174283742,1490.08157418193,13263.0369399554,19098.4601849602,-0.00902205032287051,0.285625689723802,0.45803880428732
"COM","Crabes commerciaux","zone12",48074.5522582699,55192.7825665256,66903.9413183533,292,55773.9538234478,4176.2814403185,48036.2977158898,64396.9246314228,-0.0491449637695295,0.860124210719714,1.23647758437976
"COMSC12","Crabes commerciaux, condition de carapace 1,2","zone12",48074.5522582699,41158.5006930336,58221.8529701184,292,41886.6580430175,3498.66931970589,35447.9534631332,49151.9558548257,-0.044714161176493,0.723681709618392,1.080525310223
"COMSC345","Crabes commerciaux, condition de carapace 3,4,5","zone12",48074.5522582699,14034.281873492,22334.9090653187,292,13998.4379900493,1377.91311044643,11492.1428906676,16887.69824194,-0.012959926275734,0.269142185798408,0.426061422416707
"COM","Crabes commerciaux","zone19",3813.21275606925,6902.44914936574,5941.74563742299,24,6393.20154453814,960.462315546421,4717.44933437792,8472.98952184683,0.155452663734886,1.23916070673746,1.54920860842145
