year,rec,rec.lci,rec.uci,res,res.lci,res.uci,com,com.lci,com.uci
1997,37910,30911,46018,27688,21982,34422,64518,54105,76345
1998,30603,22695,40384,28295,21497,36566,57813,45856,71931
1999,26015,20709,32265,31177,25044,38356,56757,47641,67102
2000,40734,33592,48942,9979,6987,13827,50621,41843,60692
2001,42358,33800,52422,17612,13853,22077,60328,49851,72351
2002,66076,55416,78180,13060,10793,15662,79228,67983,91791
2003,58270,50270,67175,26993,22124,32613,84448,73486,96574
2004,83764,74392,93981,21259,17343,25794,103146,92426,114758
2005,59939,53551,66870,23496,18902,28868,82565,73514,92415
2006,54541,48235,61438,19621,16697,22907,73645,65681,82302
2007,40048,35286,45269,26829,23232,30821,66371,59971,73264
2008,32241,27929,37027,20981,17989,24327,52921,47167,59178
2009,20618,17747,23818,10454,8687,12474,31015,27519,34829
2010,20477,17815,23423,15490,13022,18289,35929,32049,40147
2011,29643,25676,34045,33679,28430,39613,62841,55985,70299
2012,49010,40382,58931,25615,21607,30147,74778,64881,85748
2013,39988,31504,50055,27092,22041,32952,66709,54294,81108
2014,44285,37440,52014,23863,20356,27799,67990,59802,76978
2015,34982,29145,41643,24106,20290,28429,58927,51368,67278
2016,74124,64811,84392,24309,20876,28143,98394,87150,110677
2017,51127,43976,59103,14650,12134,17534,65738,57221,75157
2018,59609,51755,68310,21432,17271,26291,80746,70984,91467
2019,58995,50215,68863,20291,16940,24109,79066,69072,90091
2020,58438,49759,68189,19107,16235,22239,77748,67706,88852
