date,tow.id,touchdown
20-07-21,GP249A1,11:56:41
20-07-21,GP261F,13:12:26
20-07-21,GP257F,14:08:47
20-07-21,GP278F,15:32:56
20-07-21,GP290F,16:57:06
20-07-21,GP287F,17:36:57
20-07-21,GP303F,18:14:15
20-07-21,GP300A1,19:54:39
20-07-22,GP253F,5:21:27
20-07-22,GP242F,6:04:48
20-07-22,GP239F,6:47:15
20-07-22,GP224F,8:26:18
20-07-22,GP213F,9:45:40
20-07-22,GP205F,10:39:51
20-07-22,GP222F,11:50:55
20-07-22,GP211F,13:01:24
20-07-22,GP194F,14:26:23
20-07-22,GP199F,15:34:22
20-07-22,GP219F,17:01:43
20-07-22,GP212F,18:07:24
20-07-22,GP196F,19:15:34
20-07-22,GP188F,20:09:28
20-07-23,GP234F,5:34:38
20-07-23,GP240F,7:03:49
20-07-23,GP265F,7:51:27
20-07-28,GP274F,5:31:37
20-07-28,GP268F,6:38:57
20-07-28,GP259F,7:42:15
20-07-28,GP248F,8:43:24
20-07-28,GP263F,10:25:52
20-07-28,GP245F,11:33:35
20-07-28,GP233F,13:36:41
20-07-28,GP226F,14:53:07
20-07-28,GP220F,16:18:33
20-07-28,GP214F,17:33:50
20-07-28,GP192F,18:38:07
20-07-28,GP197F,19:25:59
20-07-28,GP189F,20:26:43
20-07-29,GP174F,5:37:39
20-07-29,GP162F,6:45:14
20-07-29,GP154F,8:01:57
20-07-29,GP133F,8:50:46
20-07-29,GP141F,9:43:07
20-07-29,GP170F,11:21:00
20-07-29,GP159F,12:49:38
20-07-29,GP184F,14:00:54
20-07-29,GP202A2,18:15:00
20-07-29,GP206F,19:25:06
20-07-29,GP215F,20:35:13
20-07-30,GP198F,5:40:20
20-07-30,GP179F,6:51:36
20-07-30,GP176F,8:03:50
20-07-30,GP158F,9:27:17
20-07-30,GP149F,10:28:46
20-07-30,GP147F,11:22:49
20-07-30,GP123F,12:54:42
20-07-30,GP128A1,14:43:06
20-07-30,GP099F,17:22:33
20-07-30,GP094F,18:17:33
20-07-31,GP077A1,5:49:39
20-07-31,GP084F,6:42:24
20-07-31,GP113F,8:16:33
20-07-31,GP127F,9:22:26
20-07-31,GP125F,10:28:34
20-07-31,GP106F,11:21:07
20-07-31,GP080A2,15:14:23
20-07-31,GP088F,16:10:41
20-07-31,GP068F,17:10:13
20-07-31,GP076F,18:34:00
20-07-31,GP061F,19:42:08
20-08-01,GP049A1,6:27:55
20-08-01,GP026F,8:46:15
20-08-01,GP024F,10:01:20
20-08-01,GP036F,11:17:44
20-08-01,GP046F,12:51:23
20-08-01,GP067F,14:09:07
20-08-01,GP091A1,16:52:12
20-08-01,GP066A1,19:22:25
20-08-01,GP048F,20:13:39
20-08-02,GP050F,5:40:32
20-08-02,GP044F,7:19:07
20-08-02,GP025F,8:55:59
20-08-02,GP016F,10:30:13
20-08-02,GP023F,11:41:16
20-08-02,GP019F,12:35:31
20-08-02,GP018F,13:27:43
20-08-02,GP028F,14:50:27
20-08-02,GP032F,15:30:03
20-08-02,GP022F,16:36:43
20-08-02,GP030F,17:17:17
20-08-02,GP040F,17:57:00
20-08-02,GP042F,19:02:18
20-08-02,GP041F,19:49:35
20-08-03,GP015F,5:48:24
20-08-03,GP012F,8:01:12
20-08-03,GP010F,9:42:15
20-08-03,GP011F,11:00:07
20-08-03,GP007F,12:23:38
20-08-03,GP005F,13:37:37
20-08-03,GP001F,15:32:37
20-08-03,GP003F,16:49:33
20-08-03,GP004F,17:39:00
20-08-03,GP002F,18:44:19
20-08-03,GP006F,20:42:06
20-08-04,GP008F,6:04:41
20-08-04,GP009F,7:03:04
20-08-08,GP013A1,7:13:49
20-08-08,GP017F,8:25:16
20-08-08,GP021F,9:28:09
20-08-08,GP020F,10:21:23
20-08-08,GP014F,11:19:59
20-08-08,GP034F,13:30:42
20-08-08,GP027F,14:51:11
20-08-08,GP033F,15:46:47
20-08-08,GP057F,17:03:35
20-08-08,GP038F,18:07:36
20-08-08,GP035F,20:03:48
20-08-09,GP054F,5:59:07
20-08-09,GP064F,7:06:00
20-08-09,GP056F,8:10:23
20-08-09,GP074F,9:10:55
20-08-09,GP083F,10:28:59
20-08-09,GP078F,12:04:13
20-08-09,GP107F,13:13:46
20-08-09,GP096F,14:24:33
20-08-09,GP112F,15:52:17
20-08-09,GP103A1,18:36:42
20-08-09,GP089F,19:45:40
20-08-10,GP086A1,7:03:01
20-08-10,GP073A1,9:26:28
20-08-10,GP065F,11:02:11
20-08-10,GP059F,12:10:32
20-08-10,GP058F,13:01:50
20-08-10,GP029F,14:23:35
20-08-10,GP037F,15:07:59
20-08-10,GP055A1,17:04:15
20-08-10,GP071F,17:55:41
20-08-11,GP053F,10:03:12
20-08-11,GP039F,11:36:11
20-08-11,GP031A1,14:10:44
20-08-11,GP045F,16:18:24
20-08-11,GP062F,17:49:01
20-08-11,GP060F,19:08:15
20-08-12,GP082A1,6:03:19
20-08-12,GP075F,7:58:43
20-08-12,GP101F,9:15:08
20-08-12,GP114F,10:15:41
20-08-12,GP126F,11:54:58
20-08-12,GP118F,13:04:44
20-08-12,GP100F,14:40:44
20-08-12,GP087F,15:46:22
20-08-12,GP092A1,18:26:06
20-08-12,GP069F,19:50:29
20-08-13,GP051F,5:56:48
20-08-13,GP052F,6:52:25
20-08-13,GP047A1,9:02:38
20-08-13,GP070A1,11:45:54
20-08-13,GP093F,13:01:13
20-08-13,GP063F,14:13:53
20-08-13,GP095F,15:33:49
20-08-13,GP111F,16:59:29
20-08-13,GP110F,18:01:29
20-08-13,GP129F,19:16:03
20-08-14,GP281F,5:53:44
20-08-14,GP258F,7:12:41
20-08-14,GP247F,8:02:22
20-08-14,GP223F,9:28:13
20-08-14,GP209F,11:11:44
20-08-14,GP204F,12:09:51
20-08-14,GP193F,13:00:32
20-08-14,GP183F,14:26:26
20-08-14,GP172F,15:34:06
20-08-14,GP157F,16:36:12
20-08-14,GP143F,17:57:49
20-08-14,GP144F,19:02:30
20-08-14,GP136F,19:54:26
20-08-15,GP135F,5:59:28
20-08-15,GP145F,7:06:47
20-08-15,GP131F,8:02:00
20-08-15,GP137F,9:14:48
20-08-15,GP132F,10:15:00
20-08-15,GP119F,11:27:09
20-08-15,GP102F,12:23:45
20-08-15,GP108F,14:18:00
20-08-15,GP104F,15:45:19
20-08-15,GP079F,17:09:12
20-08-15,GP090F,17:59:30
20-08-15,GP097A1,20:30:28
20-08-16,GP105F,6:00:05
20-08-16,GP124F,7:17:26
20-08-16,GP150F,8:43:23
20-08-16,GP163F,10:04:47
20-08-16,GP191F,12:02:03
20-08-16,GP210F,13:25:36
20-08-16,GP229F,14:28:54
20-08-16,GP246F,15:58:33
20-08-16,GP252F,17:04:45
20-08-16,GP275F,17:55:18
20-08-16,GP283F,19:10:20
20-08-24,GP241A1,7:18:06
20-08-24,GP231F,8:45:21
20-08-24,GP238F,9:46:57
20-08-24,GP262F,11:13:29
20-08-24,GP264F,12:00:33
20-08-24,GP271F,13:16:05
20-08-24,GP270F,14:16:42
20-08-24,GP277F,15:18:04
20-08-24,GP266F,16:19:04
20-08-24,GP276F,17:46:22
20-08-24,GP254F,18:49:11
20-08-24,GP256F,19:43:27
20-08-29,GP255F,6:17:32
20-08-29,GP244F,7:17:53
20-09-01,GP349F,6:18:23
20-09-01,GP355F,8:10:14
20-09-01,GP348F,9:50:10
20-09-01,GP343F,11:08:29
20-09-01,GP347F,12:09:35
20-09-01,GP345F,12:57:18
20-09-01,GP338F,14:05:19
20-09-01,GP328F,15:05:50
20-09-01,GP337F,16:10:27
20-09-01,GP333F,17:13:01
20-09-01,GP321F,18:26:58
20-09-01,GP314F,19:04:39
20-09-01,GP310F,19:44:56
20-09-02,GP308F,6:18:29
20-09-02,GP311F,7:53:15
20-09-02,GP307F,9:18:31
20-09-02,GP297F,10:56:06
20-09-02,GP296F,11:44:42
20-09-02,GP285F,13:00:04
20-09-05,GP228F,6:23:58
20-09-05,GP216F,7:48:39
20-09-05,GP195F,9:23:31
20-09-05,GP178F,10:58:32
20-09-05,GP168F,12:13:03
20-09-05,GP175F,13:12:50
20-09-05,GP155F,14:39:55
20-09-05,GP171F,15:30:34
20-09-05,GP173F,16:08:27
20-09-05,GP148F,18:14:23
20-09-06,GP167A2,7:25:15
20-09-06,GP186A1,10:02:59
20-09-06,GP182F,10:49:58
20-09-06,GP160F,12:32:07
20-09-06,GP140F,14:17:17
20-09-06,GP117A1,16:19:34
20-09-06,GP146F,17:31:55
20-09-06,GP116F,18:30:11
20-09-06,GP151F,19:37:42
20-09-07,GP161F,6:26:08
20-09-07,GP164F,7:21:37
20-09-07,GP177F,8:38:26
20-09-07,GP190F,10:14:05
20-09-07,GP221F,11:44:49
20-09-07,GP232F,13:20:20
20-09-07,GP279F,17:12:54
20-09-07,GP291F,18:28:35
20-09-07,GP288F,19:45:21
20-09-08,GP286F,6:31:12
20-09-08,GP272F,8:26:52
20-09-08,GP267F,9:39:00
20-09-08,GP280F,10:50:51
20-09-08,GP284F,12:29:09
20-09-08,GP294F,13:45:29
20-09-08,GP301F,14:54:36
20-09-08,GP289F,16:32:42
20-09-08,GP298F,17:18:35
20-09-08,GP292F,18:01:25
20-09-09,GP340F,6:35:12
20-09-09,GP339F,7:39:10
20-09-09,GP329F,8:57:16
20-09-09,GP317F,10:00:11
20-09-09,GP327F,11:04:02
20-09-09,GP332F,11:57:58
20-09-09,GP336F,12:37:56
20-09-10,GP330F,6:32:08
20-09-10,GP318F,7:35:03
20-09-10,GP322F,8:51:02
20-09-10,GP309F,9:48:16
20-09-10,GP302F,11:06:07
20-09-10,GP304F,12:11:44
20-09-10,GP299F,13:51:17
20-09-10,GP306F,15:02:20
20-09-10,GP305F,15:59:41
20-09-10,GP319F,17:15:16
