date,tow.id,touchdown
20-07-13,GP354F,5:24:13
20-07-13,GP351F,6:30:04
20-07-13,GP353F,7:47:03
20-07-13,GP352F,9:05:57
20-07-13,GP350F,10:15:46
20-07-13,GP346F,11:33:56
20-07-13,GP342F,12:51:49
20-07-13,GP334F,13:59:10
20-07-15,GP323F,20:07:21
20-07-16,GP325F,5:13:37
20-07-16,GP335F,6:23:44
20-07-16,GP344F,7:46:37
20-07-16,GP341F,8:58:32
20-07-16,GP331F,10:19:43
20-07-16,GP326F,11:03:46
20-07-16,GP315F,11:54:31
20-07-16,GP324F,13:10:24
20-07-16,GP313F,14:19:04
20-07-16,GP320F,15:27:51
20-07-16,GP312F,16:43:15
20-07-16,GP316F,18:33:22
20-07-16,GP295F,20:14:32
20-07-17,GP293F,5:32:22
20-07-17,GP282F,7:42:32
20-07-17,GP273F,9:26:17
20-07-17,GP269F,11:32:21
20-07-17,GP260F,12:59:02
20-07-17,GP251F,13:55:21
20-07-17,GP250F,14:46:45
20-07-17,GP235F,16:46:51
20-07-17,GP237F,18:15:50
20-07-17,GP208F,20:30:21
20-07-18,GP120F,5:44:28
20-07-18,GP098F,8:07:20
20-07-18,GP081FR,11:31:17
20-07-18,GP072A1,15:29:15
20-07-18,GP085F,17:09:04
20-07-18,GP109F,18:42:15
20-07-18,GP122F,20:08:23
20-07-19,GP121F,5:27:45
20-07-19,GP142F,6:54:41
20-07-19,GP156F,8:56:34
20-07-19,GP134F,11:02:27
20-07-19,GP139F,12:06:39
20-07-19,GP115F,14:11:48
20-07-19,GP130F,15:40:38
20-07-19,GP152F,16:57:14
20-07-19,GP138F,17:44:47
20-07-19,GP166F,18:41:20
20-07-19,GP187F,20:11:08
20-07-20,GP203F,5:42:13
20-07-20,GP181F,7:54:48
20-07-20,GP165A1,11:01:07
20-07-20,GP153F,12:28:35
20-07-20,GP169F,13:40:47
20-07-20,GP180F,14:56:27
20-07-20,GP185F,15:50:58
20-07-20,GP201F,16:48:04
20-07-20,GP207F,18:18:56
20-07-20,GP227F,19:03:07
20-07-20,GP230F,19:52:14
20-07-21,GP217F,5:20:57
20-07-21,GP200F,6:29:11
20-07-21,GP218F,7:23:43
20-07-21,GP236F,8:18:36
20-07-21,GP243F,9:43:57
