date,tow.id,liftoff.time,,,,,
8/3/2020,GP001F,15:38:43,,,,,
8/3/2020,GP002F,18:51:48,,,,,
8/3/2020,GP003F,16:54:53,,,,,
8/3/2020,GP004F,17:46:23,,,,,
8/3/2020,GP005F,13:43:06,,,,,
8/3/2020,GP006F,20:49:52,,,,,
8/3/2020,GP007F,12:30:22,,,,,
8/4/2020,GP008F,6:11:34,,,,,
8/4/2020,GP009F,7:08:44,,,,,
8/3/2020,GP010F,9:48:49,,,,,
8/3/2020,GP011F,11:06:48,,,,,
8/3/2020,GP012F,8:09:37,,,,,
8/8/2020,GP013A1,7:21:29,,,,,
8/8/2020,GP014F,11:28:17,,,,,
8/3/2020,GP015F,5:54:38,,,,,
8/2/2020,GP016F,10:36:49,,,,,
8/8/2020,GP017F,8:33:00,,,,,
8/2/2020,GP018F,13:34:10,,,,,
8/2/2020,GP019F,12:43:14,,,,,
8/8/2020,GP020F,10:29:47,,,,,
8/8/2020,GP021F,9:36:40,,,,,
8/2/2020,GP022F,16:44:12,,,,,
8/2/2020,GP023F,11:48:02,,,,,
8/1/2020,GP024F,10:07:35,,,,,
8/2/2020,GP025F,9:02:18,,,,,
8/1/2020,GP026F,8:52:22,,,,,
8/8/2020,GP027F,14:58:40,,,,,
8/2/2020,GP028F,14:57:36,,,,,
8/10/2020,GP029F,14:29:24,,,,,
8/2/2020,GP030F,17:25:16,,,,,
8/11/2020,GP031A1,14:16:56,,,,,
8/2/2020,GP032F,15:37:12,,,,,
8/8/2020,GP033F,15:54:47,,,,,
8/8/2020,GP034F,13:36:04,,,,,
8/8/2020,GP035F,20:10:24,,,,,
8/1/2020,GP036F,11:23:17,,,,,
8/10/2020,GP037F,15:14:57,,,,,
8/8/2020,GP038F,18:14:24,,,,,
8/11/2020,GP039F,11:42:31,,,,,
8/2/2020,GP040F,18:04:37,,,,,
8/2/2020,GP041F,19:56:31,,,,,
8/2/2020,GP042F,19:09:43,,,,,
8/2/2020,GP044F,7:25:17,,,,,
8/11/2020,GP045F,16:26:13,,,,,
8/1/2020,GP046F,12:57:55,,,,,
8/13/2020,GP047A1,9:08:51,,,,,
8/1/2020,GP048F,20:20:03,,,,,
8/1/2020,GP049A1,6:32:32,,,,,
8/2/2020,GP050F,5:46:58,,,,,
8/13/2020,GP051F,6:04:12,,,,,
8/13/2020,GP052F,7:00:04,,,,,
8/11/2020,GP053F,10:10:06,,,,,
8/9/2020,GP054F,6:06:40,,,,,
8/10/2020,GP055A1,17:10:34,,,,,
8/9/2020,GP056F,8:19:46,,,,,
8/8/2020,GP057F,17:09:46,,,,,
8/10/2020,GP058F,13:10:05,,,,,
8/10/2020,GP059F,12:16:58,,,,,
8/11/2020,GP060F,19:15:28,,,,,
7/31/2020,GP061F,19:48:56,,,,,
8/11/2020,GP062F,17:56:12,,,,,
8/13/2020,GP063F,14:20:59,,,,,
8/9/2020,GP064F,7:14:32,,,,,
8/10/2020,GP065F,11:11:21,,,,,
8/1/2020,GP066A1,19:29:46,,,,,
8/1/2020,GP067F,14:15:29,,,,,
7/31/2020,GP068F,17:16:44,,,,,
8/12/2020,GP069F,19:56:54,,,,,
8/13/2020,GP070A1,11:52:29,,,,,
8/10/2020,GP071F,18:02:38,,,,,
7/18/2020,GP072A1,15:37:58,,,,,
8/10/2020,GP073A1,9:32:43,,,,,
8/9/2020,GP074F,9:20:05,,,,,
8/12/2020,GP075F,8:05:26,,,,,
7/31/2020,GP076F,18:41:02,,,,,
7/31/2020,GP077A1,5:56:59,,,,,
8/9/2020,GP078F,12:13:23,,,,,
8/15/2020,GP079F,17:15:52,,,,,
7/31/2020,GP080A2,15:20:57,,,,,
7/18/2020,GP081FR,11:48:01,,,,,
8/12/2020,GP082A1,6:10:17,,,,,
8/9/2020,GP083F,10:36:48,,,,,
7/31/2020,GP084F,6:48:49,,,,,
7/18/2020,GP085F,17:21:06,,,,,
8/10/2020,GP086A1,7:10:42,,,,,
8/12/2020,GP087F,15:53:01,,,,,
7/31/2020,GP088F,16:17:23,,,,,
8/9/2020,GP089F,19:52:40,,,,,
8/15/2020,GP090F,18:06:12,,,,,
8/1/2020,GP091A1,17:00:14,,,,,
8/12/2020,GP092A1,18:32:54,,,,,
8/13/2020,GP093F,13:07:29,,,,,
7/30/2020,GP094F,18:24:07,,,,,
8/13/2020,GP095F,15:40:32,,,,,
8/9/2020,GP096F,14:32:52,,,,,
8/15/2020,GP097A1,20:37:50,,,,,
7/18/2020,GP098F,8:22:32,,,,,
7/30/2020,GP099F,17:28:46,,,,,
8/12/2020,GP100F,14:46:57,,,,,
8/12/2020,GP101F,9:22:16,,,,,
8/15/2020,GP102F,12:29:47,,,,,
8/9/2020,GP103A1,18:43:38,,,,,
8/15/2020,GP104F,15:52:31,,,,,
8/16/2020,GP105F,6:06:17,,,,,
7/31/2020,GP106F,11:27:42,,,,,
8/9/2020,GP107F,13:23:01,,,,,
8/15/2020,GP108F,14:24:21,,,,,
7/18/2020,GP109F,18:57:44,,,,,
8/13/2020,GP110F,18:08:28,,,,,
8/13/2020,GP111F,17:06:03,,,,,
8/9/2020,GP112F,16:00:13,,,,,
7/31/2020,GP113F,8:23:34,,,,,
8/12/2020,GP114F,10:22:23,,,,,
7/19/2020,GP115F,14:19:36,,,,,
9/6/2020,GP116F,18:35:57,,,,,
9/6/2020,GP117A1,16:25:40,,,,,
