date,tow.id,liftoff
20-07-13,GP354F,5:31:31
20-07-13,GP351F,6:37:18
20-07-13,GP353F,8:09:18
20-07-13,GP352F,9:17:55
20-07-13,GP350F,10:24:33
20-07-13,GP346F,11:40:41
20-07-13,GP342F,12:59:01
20-07-13,GP334F,14:04:56
20-07-15,GP323F,20:14:13
20-07-16,GP325F,5:20:46
20-07-16,GP335F,6:30:52
20-07-16,GP344F,7:54:32
20-07-16,GP341F,9:09:31
20-07-16,GP331F,10:26:47
20-07-16,GP326F,11:10:26
20-07-16,GP315F,12:00:56
20-07-16,GP324F,13:18:33
20-07-16,GP313F,14:27:19
20-07-16,GP320F,15:44:03
20-07-16,GP312F,16:59:05
20-07-16,GP316F,18:48:32
20-07-16,GP295F,20:21:46
20-07-17,GP293F,5:50:02
20-07-17,GP282F,8:02:23
20-07-17,GP273F,9:33:13
20-07-17,GP269F,11:49:02
20-07-17,GP260F,13:09:58
20-07-17,GP251F,14:06:03
20-07-17,GP250F,14:58:38
20-07-17,GP235F,17:00:45
20-07-17,GP237F,18:29:15
20-07-17,GP208F,20:36:59
20-07-18,GP120F,6:01:26
20-07-18,GP098F,8:22:32
20-07-18,GP081FR,11:48:02
20-07-18,GP072A1,15:37:57
20-07-18,GP085F,17:21:05
20-07-18,GP109F,18:57:48
20-07-18,GP122F,20:22:23
20-07-19,GP121F,5:38:52
20-07-19,GP142F,7:10:12
20-07-19,GP156F,9:10:20
20-07-19,GP134F,11:14:03
20-07-19,GP139F,12:18:57
20-07-19,GP115F,14:19:35
20-07-19,GP130F,15:47:23
20-07-19,GP152F,17:03:54
20-07-19,GP138F,17:51:19
20-07-19,GP166F,18:50:44
20-07-19,GP187F,20:26:34
20-07-20,GP203F,5:57:32
20-07-20,GP181F,8:01:41
20-07-20,GP165A1,11:08:37
20-07-20,GP153F,12:35:12
20-07-20,GP169F,13:47:19
20-07-20,GP180F,15:03:23
20-07-20,GP185F,15:57:33
20-07-20,GP201F,16:54:46
20-07-20,GP207F,18:25:18
20-07-20,GP227F,19:10:46
20-07-20,GP230F,19:59:25
20-07-21,GP217F,5:27:30
20-07-21,GP200F,6:35:44
20-07-21,GP218F,7:29:58
20-07-21,GP236F,8:25:36
20-07-21,GP243F,9:51:32
20-07-21,GP249A1,12:03:12
20-07-21,GP261F,13:18:45
20-07-21,GP257F,14:15:32
20-07-21,GP278F,15:39:45
20-07-21,GP290F,17:04:31
20-07-21,GP287F,17:43:22
20-07-21,GP303F,18:21:07
20-07-21,GP300A1,20:00:33
20-07-22,GP253F,5:28:04
20-07-22,GP242F,6:11:01
20-07-22,GP239F,6:53:17
20-07-22,GP224F,8:32:31
20-07-22,GP213F,9:52:12
20-07-22,GP205F,10:46:35
20-07-22,GP222F,11:57:47
20-07-22,GP211F,13:07:45
20-07-22,GP194F,14:32:57
20-07-22,GP199F,15:41:11
20-07-22,GP219F,17:08:06
20-07-22,GP212F,18:13:39
20-07-22,GP196F,19:21:51
20-07-22,GP188F,20:15:45
20-07-23,GP234F,5:41:12
20-07-23,GP240F,7:11:05
20-07-23,GP265F,7:57:57
20-07-28,GP274F,5:38:12
20-07-28,GP268F,6:45:26
20-07-28,GP259F,7:49:29
20-07-28,GP248F,8:50:14
20-07-28,GP263F,10:32:20
20-07-28,GP245F,11:39:44
20-07-28,GP233F,13:42:47
20-07-28,GP226F,15:00:12
20-07-28,GP220F,16:25:12
20-07-28,GP214F,17:40:43
20-07-28,GP192F,18:44:33
20-07-28,GP197F,19:31:40
20-07-28,GP189F,20:32:41
20-07-29,GP174F,5:43:47
20-07-29,GP162F,6:51:17
20-07-29,GP154F,8:08:07
20-07-29,GP133F,8:58:11
20-07-29,GP141F,9:49:23
20-07-29,GP170F,11:27:38
20-07-29,GP159F,12:56:04
20-07-29,GP184F,14:07:16
20-07-29,GP202A2,18:21:25
20-07-29,GP206F,19:31:58
20-07-29,GP215F,20:41:44
20-07-30,GP198F,5:46:49
20-07-30,GP179F,6:57:04
20-07-30,GP176F,8:10:05
20-07-30,GP158F,9:33:31
20-07-30,GP149F,10:34:58
20-07-30,GP147F,11:29:00
20-07-30,GP123F,13:00:37
20-07-30,GP128A1,14:49:07
20-07-30,GP099F,17:28:39
20-07-30,GP094F,18:24:02
20-07-31,GP077A1,5:56:58
20-07-31,GP084F,6:48:46
20-07-31,GP113F,8:23:31
20-07-31,GP127F,9:29:13
20-07-31,GP125F,10:35:34
20-07-31,GP106F,11:27:40
20-07-31,GP080A2,15:20:53
20-07-31,GP088F,16:17:21
