"year","tow.id","passive.swept.area"
2017,"GP354F",798.846721009781
2017,"GP351F",1256.78095520573
2017,"GP353F",4388.35329528223
2017,"GP352F",2684.8668271285
2017,"GP350F",1205.82318346004
2017,"GP346F",928.513041200019
2017,"GP342F",640.579936420807
2017,"GP334F",233.137653200208
2017,"GP323F",650.794178331683
2017,"GP325F",1268.34707700706
2017,"GP335F",926.813668588662
2017,"GP344F",1042.20639164289
2017,"GP341F",2762.85673631645
2017,"GP331F",885.116960796729
2017,"GP326F",704.066905014825
2017,"GP315A2",294.424143975001
2017,"GP324F",654.366016123063
2017,"GP313F",1102.03762537999
2017,"GP320F",4880.4217297534
2017,"GP312F",6046.33390132818
2017,"GP316F",3874.23951651004
2017,"GP295F",244.879225466326
2017,"GP293F",6458.94515423743
2017,"GP282F",4690.87036433169
2017,"GP269F",4479.62692172775
2017,"GP260F",3867.88947937763
2017,"GP250F",2611.20506702333
2017,"GP251F",1195.81214346261
2017,"GP237F",5390.9169413036
2017,"GP235F",3463.09761386477
2017,"GP203F",3298.27725073619
2017,"GP187F",5731.66501766834
2017,"GP072F",1423.52402590769
2017,"GP085F",3302.8387116572
2017,"GP081F",6368.20674859155
2017,"GP098F",5865.8568997192
2017,"GP120F",2699.36041136684
2017,"GP109F",5140.0207244942
2017,"GP122F",6036.36444878664
2017,"GP142F",4628.09766153328
2017,"GP156F",6870.89564330158
2017,"GP281F",502.071866448275
2017,"GP258F",330.011694925258
2017,"GP247F",258.394479425105
2017,"GP242A2",532.349682103456
2017,"GP253F",555.576290649021
2017,"GP239F",246.698088526453
2017,"GP222F",406.518252753614
2017,"GP211F",567.089657790152
2017,"GP219F",275.123826208713
2017,"GP240F",287.525867780197
2017,"GP234F",277.312396997978
2017,"GP226A1",354.407156211019
2017,"GP220F",494.138628975415
2017,"GP214F",370.527821838273
2017,"GP197A2",309.816554094744
2017,"GP192F",450.945377827062
2017,"GP189F",236.418213448481
2017,"GP174F",705.572978518259
2017,"GP170F",845.826896205683
