dataentrybox Measure,Datetime,GPnum,Measurement,Measurement comment,Measurement transformed,Measurementnum,One hundred message,Species
,1970-01-03 17:14:28,GP354F,131.9mm,,131.9,1,,201
,1970-01-03 17:15:10,GP354F,124.5mm,,124.5,1,,340
,1970-01-03 17:15:16,GP354F,112.4mm,,112.4,2,,340
,1970-01-03 17:15:20,GP354F,117.2mm,,117.2,3,,340
,1970-01-03 17:15:57,GP354F,417.9mm,,417.9,1,,10
,1970-01-03 17:16:02,GP354F,274.4mm,,274.4,2,,10
,1970-01-03 17:16:05,GP354F,252.7mm,,252.7,3,,10
,1970-01-03 17:16:08,GP354F,225.0mm,,225.0,4,,10
,1970-01-03 17:16:11,GP354F,240.3mm,,240.3,5,,10
,1970-01-03 17:16:13,GP354F,342.4mm,,342.4,6,,10
,1970-01-03 17:16:16,GP354F,429.6mm,,429.6,7,,10
,1970-01-03 17:16:19,GP354F,271.8mm,,271.8,8,,10
,1970-01-03 17:16:22,GP354F,210.8mm,,210.8,9,,10
,1970-01-03 17:16:24,GP354F,217.4mm,,217.4,10,,10
,1970-01-03 17:16:28,GP354F,248.4mm,,248.4,11,,10
,1970-01-03 17:16:31,GP354F,208.8mm,,208.8,12,,10
,1970-01-03 17:16:34,GP354F,289.7mm,,289.7,13,,10
,1970-01-03 17:16:36,GP354F,318.7mm,,318.7,14,,10
,1970-01-03 17:16:39,GP354F,216.5mm,,216.5,15,,10
,1970-01-03 17:16:41,GP354F,377.3mm,,377.3,16,,10
,1970-01-03 17:16:44,GP354F,203.1mm,,203.1,17,,10
,1970-01-03 17:16:47,GP354F,205.4mm,,205.4,18,,10
,1970-01-03 17:16:50,GP354F,220.4mm,,220.4,19,,10
,1970-01-03 17:16:53,GP354F,271.7mm,,271.7,20,,10
,1970-01-03 17:16:56,GP354F,219.1mm,,219.1,21,,10
,1970-01-03 17:16:59,GP354F,260.3mm,,260.3,22,,10
,1970-01-03 17:17:01,GP354F,199.3mm,,199.3,23,,10
,1970-01-03 17:17:04,GP354F,203.1mm,,203.1,24,,10
,1970-01-03 17:17:07,GP354F,279.5mm,,279.5,25,,10
,1970-01-03 17:17:10,GP354F,237.5mm,,237.5,26,,10
,1970-01-03 17:17:12,GP354F,247.7mm,,247.7,27,,10
,1970-01-03 17:17:16,GP354F,224.2mm,,224.2,28,,10
,1970-01-03 17:17:18,GP354F,188.8mm,,188.8,29,,10
,1970-01-03 17:17:24,GP354F,203.2mm,,203.2,30,,10
,1970-01-03 17:17:27,GP354F,186.7mm,,186.7,31,,10
,1970-01-03 17:17:30,GP354F,232.6mm,,232.6,32,,10
,1970-01-03 17:17:33,GP354F,317.3mm,,317.3,33,,10
,1970-01-03 17:17:37,GP354F,236.8mm,,236.8,34,,10
,1970-01-03 17:17:52,GP354F,381.6mm,,381.6,1,,40
,1970-01-03 17:18:01,GP354F,332.4mm,,332.4,2,,40
,1970-01-03 17:18:13,GP354F,233.3mm,,233.3,3,,40
,1970-01-03 17:18:16,GP354F,230.6mm,,230.6,4,,40
,1970-01-03 17:18:20,GP354F,254.8mm,,254.8,5,,40
,1970-01-03 17:18:23,GP354F,229.8mm,,229.8,6,,40
,1970-01-03 17:18:26,GP354F,249.4mm,,249.4,7,,40
,1970-01-03 17:18:28,GP354F,217.1mm,,217.1,8,,40
,1970-01-03 17:18:31,GP354F,214.3mm,,214.3,9,,40
,1970-01-03 17:18:34,GP354F,264.6mm,,264.6,10,,40
,1970-01-03 17:18:37,GP354F,201.1mm,,201.1,11,,40
,1970-01-03 17:18:40,GP354F,264.5mm,,264.5,12,,40
,1970-01-03 17:18:43,GP354F,286.1mm,,286.1,13,,40
,1970-01-03 17:18:46,GP354F,189.6mm,,189.6,14,,40
,1970-01-03 18:22:10,GP351F,210.4mm,,210.4,1,,40
,1970-01-03 18:22:24,GP351F,287.6mm,,287.6,2,,40
,1970-01-03 18:22:28,GP351F,119.4mm,,119.4,3,,40
,1970-01-03 18:22:32,GP351F,156.9mm,,156.9,4,,40
,1970-01-03 18:22:35,GP351F,215.2mm,,215.2,5,,40
,1970-01-03 18:22:38,GP351F,372.0mm,,372.0,6,,40
,1970-01-03 18:22:40,GP351F,174.3mm,,174.3,7,,40
,1970-01-03 18:22:43,GP351F,189.6mm,,189.6,8,,40
,1970-01-03 18:22:46,GP351F,226.2mm,,226.2,9,,40
,1970-01-03 18:22:50,GP351F,152.6mm,,152.6,10,,40
,1970-01-03 18:22:54,GP351F,212.8mm,,212.8,11,,40
,1970-01-03 18:23:00,GP351F,225.0mm,,225.0,12,,40
,1970-01-03 18:23:03,GP351F,215.9mm,,215.9,13,,40
,1970-01-03 18:23:06,GP351F,195.1mm,,195.1,14,,40
,1970-01-03 18:23:09,GP351F,202.7mm,,202.7,15,,40
,1970-01-03 18:23:12,GP351F,218.5mm,,218.5,16,,40
,1970-01-03 18:23:15,GP351F,205.4mm,,205.4,17,,40
,1970-01-03 18:23:18,GP351F,154.4mm,,154.4,18,,40
,1970-01-03 18:23:20,GP351F,221.1mm,,221.1,19,,40
,1970-01-03 18:23:23,GP351F,197.0mm,,197.0,20,,40
,1970-01-03 18:23:27,GP351F,183.6mm,,183.6,21,,40
,1970-01-03 18:23:30,GP351F,189.7mm,,189.7,22,,40
