W9999	W9998	W9997	W9996	W9995	W9994	W9993	W9992	W9991	W9630	W9400	W9304	W9303	W9302	W9300	W9200	W9001	W9000	W880	W868	W8500	W8361	W8351	W8324	W8318	W8300	W8200	W8113	W770	W720	W712	W701	W70	W6713	W6600	W6500	W647	W646	W643	W642	W6413	W641	W6400	W640	W64	W633	W632	W631	W6300	W630	W63	W628	W627	W626	W625	W624	W623	W622	W621	W6200	W620	W62	W617	W616	W6135	W6125	W6123	W6121	W6120	W6119	W6117	W6115	W6113	W6111	W6110	W6100	W610	W61	W603	W6000	W600	W60	W598	W59	W520	W52	W512	W51	W509	W505	W504	W502	W501	W500	W50	W4700	W4536	W4522	W4521	W4514	W4512	W4511	W4400	W4348	W4342	W4340	W4331	W4330	W4322	W4321	W4320	W4318	W4317	W4312	W4310	W4304	W43	W4220	W4212	W4211	W4210	W4200	W42	W410	W41	W4000	W400	W40	W3700	W361	W350	W341	W340	W3200	W320	W314	W313	W3100	W310	W31	W308	W307	W306	W304	W303	W302	W301	W300	W30	W2990	W2980	W2938	W2800	W2560	W2550	W2528	W2527	W2526	W2524	W2523	W2521	W2513	W2511	W241	W240	W23	W221	W220	W211	W2100	W204	W202	W201	W1930	W1827	W1823	W1810	W17	W169	W164	W1600	W160	W16	W1511	W1510	W143	W14	W123	W1224	W122	W1200	W12	W118	W114	W112	W110	W11	W10	TWwolffish	TWwelk	TWunknownivert	TWunknownfish	TWstarfish	TWsquid	TWsnakeblenny	TWskate	TWseasnail	TWseapen	TWsea urchins	TWsculpin	TWhake	TWgunnel	TWellpout	TWcrab	TWcod	TWclam	TWalligatorfish	TRAWLNUMshort	TRAWLNUM	TPwolffish	TPwelk	TPunknowninvert	TPunknownfish	TPstarfish	TPsquid	TPsnakeblenny	TPskate	TPseasnail	TPseapen	TPsea urchins	TPsculpin	TPhake	TPgunnel	TPellpout	TPcrab	TPcod	TPcockle	TPclam	TPalligatorish	timestamp	Temp_weight	Temp_count	TCwolffish	TCwelk	TCunknowninvert	TCunknownfish	TCstarfish	TCsquid	TCsnakeblenny	TCskate	TCseasnail	TCseapen	TCsea urchins	TCsculpin	TChake	TCgunnel	TCellpout	TCcrab	TCcod	TCcockle	TCclam	TCalligatorfish	SpeciesInfoLong	SpeciesInfo	P9999	P9998	P9997	P9996	P9995	P9994	P9993	P9992	P9991	P9630	P9400	P9304	P9303	P9302	P9300	P9200	P9001	P9000	P880	P868	P8500	P8361	P8351	P8324	P8318	P8300	P8200	P8113	P770	P720	P712	P701	P70	P6713	P6600	P6500	P647	P646	P643	P642	P6413	P641	P6400	P640	P64	P633	P632	P631	P6300	P630	P63	P628	P627	P626	P625	P624	P623	P622	P621	P6200	P620	P62	P617	P616	P6135	P6125	P6123	P6121	P6120	P6119	P6117	P6115	P6113	P6111	P6110	P6100	P610	P61	P603	P6000	P600	P60	P598	P59	P520	P52	P512	P51	P509	P505	P504	P502	P501	P500	P50	P4700	P4536	P4522	P4521	P4514	P4512	P4511	P4400	P4348	P4342	P4340	P4331	P4330	P4322	P4321	P4320	P4318	P4317	P4312	P4310	P4304	P43	P4220	P4212	P4211	P4210	P4200	P42	P410	P41	P4000	P400	P40	P3700	P361	P350	P341	P340	P3200	P320	P314	P313	P3100	P310	P31	P308	P307	P306	P304	P303	P302	P301	P300	P30	P2990	P2980	P2938	P2800	P2560	P2550	P2528	P2527	P2526	P2524	P2523	P2521	P2513	P2511	P241	P240	P23	P221	P220	P211	P2100	P204	P202	P201	P1930	P1827	P1823	P1810	P17	P169	P164	P1600	P160	P16	P1511	P1510	P143	P14	P123	P1224	P122	P1200	P12	P118	P114	P112	P110	P11	P10	Measure fish message for main menu	Measure fish message	Measure fish flag for main menu	Measure fish flag	Location	GPnum_wt_year	GPnum	g_filterText	Date_tow_num	DATE	dataentrybox weight	dataentrybox Townum	dataentrybox GPnum	dataentrybox count	dataentrybox comment	dataentrybox code	COMMENT	Code_entry	code_calc	class_data	C9999	C9998	C9997	C9996	C9995	C9994	C9993	C9992	C9991	C9630	C9400	C9303	C9302	C9304	C9300	C9200	C9001	C9000	C880	C868	C8500	C8361	C8351	C8324	C8318	C8300	C8200	C8113	C770	C720	C712	C701	C70	C6713	C6600	C6500	C647	C646	C643	C642	C6413	C641	C6400	C640	C64	C633	C632	C631	C6300	C630	C63	C628	C627	C626	C625	C624	C623	C622	C621	C6200	C620	C62	C617	C616	C6135	C6125	C6123	C6121	C6120	C6119	C6117	C6115	C6113	C6111	C6110	C6100	C610	C61	C603	C6000	C600	C60	C598	C59	C520	C52	C512	C51	C509	C505	C504	C502	C501	C500	C50	C4700	C4536	C4522	C4521	C4514	C4512	C4511	C4400	C4348	C4342	C4340	C4331	C4330	C4322	C4321	C4320	C4318	C4317	C4312	C4310	C4304	C43	C4220	C4212	C4211	C4210	C4200	C42	C410	C41	C4000	C400	C40	C3700	C361	C350	C341	C340	C3200	C320	C314	C313	C3100	C310	C31	C308	C307	C306	C304	C303	C302	C301	C300	C30	C2990	C2980	C2938	C2800	C2560	C2550	C2528	C2527	C2526	C2524	C2523	C2521	C2513	C2511	C241	C240	C23	C221	C220	C211	C2100	C204	C202	C201	C1930	C1827	C1823	C1810	C17	C169	C164	C1600	C160	C16	C1511	C1510	C143	C14	C123	C1224	C122	C1200	C12	C118	C114	C112	C110	C11	C10	_W303	_P303	_C303	__pk_sample_id	C8364	W8364	P8364	P8365	W8365	C8365	C8600	P8600	W8600	W8602	P8602	C8602	C8608	P8608	W8608	W8609	P8609	C8609	C8610	P8610	W8610	W8611	P8611	C8611	C8612	P8612	W8612	W8613	P8613	C8613	C8614	P8614	W8614	W8616	P8616	C8616	C8617	P8617	W8617	W8618	P8618	C8618	C8619	P8619	W8619	W8620	P8620	C8620	C8621	P8621	W8621	W8623	P8623	C8623	C8625	P8625	W8625	W8626	P8626	C8626	C8627	P8627	W8627	W8628	P8628	C8628	C8629	P8629	W8629	W8630	P8630	C8630	C8631	P8631	W8631	W8632	P8632	C8632	C8633	P8633	W8633	W8634	P8634	C8634	C8635	P8635	W8635	W8636	P8636	C8636	C8637	P8637	W8637	W8638	P8638	C8638	W8639	C8639	P8639	W8640	P8640	C8640	C8641	P8641	W8641	W8642	P8642	C8642	C8643	P8643	W8643	W8644	P8644	C8644	C8645	P8645	W8645	W8646	P8646	C8646	C8647	P8647	W8647	W8648	P8648	C8648	C8649	P8649	W8649	W8650	P8650	C8650	C8651	P8651	W8651	TCsponge	TWsponge	TPsponge	TCsponge2	TWsponge2	TPsponge2	W205	C205	P205	P6114	W6114	C6114	C8347	W8347	P8347	P8346	W8346	C8346	C8348	W8348	P8348	P6101	W6101	C6101	C6131	W6131	P6131	P6129	W6129	C6129	P619	C619	W619	W2893	P2893	C2893
																																										1.46						0.88												0.25							0.29																																									0.03																								0.01											0.02																	0.95												0.41																									7.34					1.17			0.41			1.46	0.02			0.25	0.95	7.34		0.01	GP354	1					1			1			1	1			1	1	1			1	7/12/2019 6:35							4			1			29	4			1	11.43	27			3																																													1						1												1							1																																									1																								1											1													1				1												1																									1			0	0		G19_GP354F	GP354F			7/12/2019						Code																																															29						3												1							1																																									2																								3											4													0.43				11												1																									27				6C7694A9-CC3B-41FA-B3B8-2218B87A7391																																		0.83	1	1																																																																															0	1	6.07																			1	6.9	1																																	
																																										0.82																									0.01																																																						0.01			0.52			11.23																																												0.37	3.36																									1.27					0.01			3.73			0.82						1.27			GP351	2					1			1			1						1				7/12/2019 6:39							1			18			20						6																																																1																									1																																																						1			1			1																																												1	1																									1			0	0		G19_GP351F	GP351F			7/12/2019						Code																																															20																									1																																																						1			2			113																																												2	16																									6				A5F1357F-39E8-497E-ABF8-2F8255C4078C																																		1.95	1	1																																																																																																				1	1.95	1																																	
																																																																																																																																																																																																																									GP353	3																					7/12/2019 7:43																																																																																																																																																																																																																																Measure Fish	0	1		G19_GP353F	GP353F			7/12/2019					Comment		Bad tow chalut melee																																																																																																																																																																																																													4918D536-C0AF-4F59-BEDA-6CCEC7DF01B9																																																																																																																																																																											
																									0.36															0.04																														0.07					0.21																							0.01																									0.24																																				1.66						8.63						0.63	1.22														0.35		0.22			0.96											0.28			1.85			0.04		1.31			1.66				GP353	4					1			1			1		1			1					7/12/2019 10:03							15			5			11		3			6																																1															1																														1					1																							1																									1																																				1						1						1	1														1		1			1								Measure Fish	0	1		G19_GP353FR	GP353FR			7/12/2019					Comment		"Ceramaster : 5=0.08
6100 = 8346"																													8															11																														2					13																							1																									4																																				6						52						4	1														1		9			2										D479BC52-3A18-4F54-9BE9-76DD076F505A																																																																																																																																																																											
																																																																						0.18																															0.09																						1.24	1.28																																			0.95						272.59						0.57	0.18														2.28					13.95			0.06			0.76					0.18	0.09		0.75					16.29			0.95	0.76			GP352	5					1	1		1					1			1	1				7/12/2019 11:02							1	1		6					21			4	1																																																																												1																															1																						1	1																																			1						1						1	1														1					1			1			1			0	0		G19_GP352F	GP352F			7/12/2019					Comment																																																																												1																															1																						23	11																																			4						1952						5	1														8					12			1			1				AA73EAC9-474A-47E2-B504-CCF89E84D926																																																																																																																																																																											
																																																																						0.92																																																						2.91			0.52																					5.98																							2.69	27.52																0.01									0.55					0.92			30.21									0.55			GP350	6					1			1									1				7/12/2019 12:06							2			32									10																																																																												1																																																						1			1																					1																							1	1																1									1		Measure Fish	0	1		G19_GP350F	GP350f			7/12/2019						Code	"6114=5=0.05
Ceramaster =1=0.01"																																																																										2																																																						8			3																					1																							5	27																1									10				621AC40C-CC45-45FA-9655-D41D2162EFFA																																														0.02	1	1																0.02	1	1																																					1	1	0.01	0.6	1	1																			1	1	0.14							4	0.65	1	1	0.14	1																														
																																		0.32								2.78						23.13																																																												0.22														0.04					9.27																													0.12																0.59			0.11																						1.31					23.13			0.59			2.78					0.12	1.31			GP346	7					1			1			1					1	1				7/12/2019 13:22							151			13			35					1	2																																								1								1						1																																																												1														1					1																													1																1			1																						1		Measure Fish	0	1		G19_GP346F	GP346f			7/12/2019						Code																																							1								35						151																																																												3														1					97																													1																13			1																						2				BFBA3A23-7AEF-43A5-86FD-D9174E1CFDC9																																																																																																																																																																											
																																										1.49																																																																																					7.72																													0.62				0.32												0.78																																	0.78			1.49					0.94				GP342	8								1			1					1					7/12/2019 14:41										1			25					6																																																	1																																																																																					1																													1				1												1																												0	0		G19_GP342F	GP342F			7/12/2019						Code																																															25																																																																																					88																													3				3												1																													B828C9BB-0854-47F7-B06B-09B3463DC5B2																																																																																																																																																																											
																																																																																																																																																																																																																									GP334	9																					7/12/2019 15:45																																																																																																																																																																																																																																	0	0		G19_GP334F	GP334f			7/12/2019					Comment		Bad tow																																																																																																																																																																																																													1A9A03DA-CEF9-46E6-A501-B163B1F5E479																																																																																																																																																																											
																																																																																																																																																																																																																									GP334	10																					7/12/2019 17:00																																																																																																																																																																																																																																	0	0		G19_GP334A1	GP334a1			7/12/2019					Comment		Bad tow																																																																																																																																																																																																													571C4A49-0F20-4ED6-AAF4-1B4298E16384																																																																																																																																																																											
																																			0.93							0.19																														0.09																																				0.53													0.14	5.84					1.21					0.02		0.56											0.09	1.93	0.23						0.11			0.66													0.01			0.46																									0.42					0.09			0.46			0.19	2.25				0.77	0.42		0.02	GP323	11					1			1			1	1				1	1			1	7/12/2019 19:55		100					1			1			5	11				11	4			2																																						1							1																														1																																				1													1	1					1					1		1											1	1	1						1			1													1			1																									1		Measure Fish	0	1		G19_GP323F	GP323F			7/12/2019			GPnum				123 total yellowtails																																							60							5																														1																																				5													3	100					12					2		1									1		3	4	3						3			8													1			1																									4				0FC770AA-8AA9-4AB6-B74F-1202B667E409																																																																																																																																																																											
																																																																																																																																																																																																																									GP334	1																					7/13/2019 6:01																																																																																																																																																																																																																																	0	0		G19_GP334A2	GP334A2			7/13/2019					Comment		Bad tow																																																																																																																																																																																																													6C2C45A6-5FFC-4A11-A487-851DA8519B2C																																																																																																																																																																											
																							0.01											2.95								1.23																								0.21						5.64														0.11					0.01																	2.02																			1.06					0.01											0.21		1.62											3.15				7.52									0.06					2.25																							0.11					5.85				0.11		1.23	1.83				10.67	0.11		0.01	GP334	2					1				1		1	1				1	1			1	7/13/2019 8:59							18				2		32	35				70	3			1																										1											1								1																								1						1														1					1																	1																			1					1											1		1											1				1									1					1																							1			0	0		G19_GP334A3	GP334a3			7/13/2019						Code																												1											4								32																								1						17														2					1																	19																			19					1											17		18											28				42									6					8																							3				D5305B79-EDC7-4A0B-B410-9018EE504DC9																																																																																																																																																																											
																																										1.08						2.95																																																												0.33																0.86			5.1																		0.11											0.83				0.34												5.02			0.12																						1.93					2.95			5.02			1.08	0.11				1.17	1.93			GP344	3					1			1			1	1				1	1				7/13/2019 11:42							3			9			22	1				7	13																																																1						1																																																												1																1			1																		1											1				1												1			1																						1			0	0		G19_GP344F	GP344F			7/13/2019						Code																																															22						3																																																												4																2			22																		1											4				3												9			1																						13				69568856-AB20-4C5F-93AD-60B6CE933282																																		0.92	1	1																																																																																																				1	0.92	1																																	
