Time,Hydrophone,Value,SignalPower(dBu)
24 Aug 2020 17:41:24,0,2.877551,89 
24 Aug 2020 17:41:29,0,3.081633,92 
24 Aug 2020 17:41:34,0,2.326531,92 
24 Aug 2020 17:41:39,1,2.836735,95 
24 Aug 2020 17:41:39,0,2.244898,91 
24 Aug 2020 17:41:44,1,4.469388,93 
24 Aug 2020 17:41:44,0,0.734694,94 
24 Aug 2020 17:41:49,0,1.918367,91 
24 Aug 2020 17:41:54,1,2.489796,90 
24 Aug 2020 17:41:54,0,2.387755,97 
24 Aug 2020 17:41:59,0,1.857143,94 
24 Aug 2020 17:41:59,1,1.163265,89 
24 Aug 2020 17:42:04,1,1.918367,91 
24 Aug 2020 17:42:05,0,1.979592,91 
24 Aug 2020 17:42:10,1,2.102041,92 
24 Aug 2020 17:42:10,0,1.714286,97 
24 Aug 2020 17:42:15,1,1.346939,93 
24 Aug 2020 17:42:15,0,1.510204,93 
24 Aug 2020 17:42:19,1,4.448980,99 
24 Aug 2020 17:42:20,0,4.265306,92 
24 Aug 2020 17:42:25,1,2.755102,98 
24 Aug 2020 17:42:25,0,2.224490,98 
24 Aug 2020 17:42:30,0,3.510204,92 
24 Aug 2020 17:42:30,1,1.959184,104 
24 Aug 2020 17:42:35,1,3.591837,99 
24 Aug 2020 17:42:35,0,2.795918,99 
24 Aug 2020 17:42:40,1,3.244898,99 
24 Aug 2020 17:42:40,0,2.918367,100 
24 Aug 2020 17:42:45,1,3.204082,97 
24 Aug 2020 17:42:45,0,2.632653,98 
24 Aug 2020 17:42:50,1,2.591837,96 
24 Aug 2020 17:42:50,0,3.367347,95 
24 Aug 2020 17:42:55,1,3.877551,97 
24 Aug 2020 17:42:55,0,3.061224,99 
24 Aug 2020 17:43:00,0,2.632653,100 
24 Aug 2020 17:43:05,0,3.081633,103 
24 Aug 2020 17:43:10,0,1.959184,105 
24 Aug 2020 17:43:15,0,2.448980,100 
24 Aug 2020 17:43:20,0,2.387755,104 
24 Aug 2020 17:43:25,0,2.142857,102 
24 Aug 2020 17:43:25,1,1.612245,99 
24 Aug 2020 17:43:30,1,2.714286,97 
24 Aug 2020 17:43:30,0,2.653061,103 
24 Aug 2020 17:43:35,1,1.857143,97 
24 Aug 2020 17:43:35,0,2.183673,103 
24 Aug 2020 17:43:40,1,2.448980,99 
24 Aug 2020 17:43:40,0,2.612245,103 
24 Aug 2020 17:43:45,1,2.591837,100 
24 Aug 2020 17:43:45,0,2.612245,100 
24 Aug 2020 17:43:50,1,2.836735,103 
24 Aug 2020 17:43:50,0,2.857143,103 
24 Aug 2020 17:43:55,1,2.448980,98 
24 Aug 2020 17:43:55,0,2.367347,106 
24 Aug 2020 17:44:00,0,2.918367,102 
24 Aug 2020 17:44:00,1,2.979592,99 
