Time,Hydrophone,Value,SignalPower(dBu)
24 Aug 2020 17:41:20,1,0.833333,89 
24 Aug 2020 17:41:34,0,1.018519,85 
24 Aug 2020 17:41:41,0,4.629630,82 
24 Aug 2020 17:41:48,1,23.055556,86 
24 Aug 2020 17:42:02,0,8.796296,109 
24 Aug 2020 17:42:09,1,9.629630,108 
24 Aug 2020 17:42:09,0,9.722222,113 
24 Aug 2020 17:42:16,1,11.111111,110 
24 Aug 2020 17:42:16,0,11.018519,105 
24 Aug 2020 17:42:23,1,20.555556,113 
24 Aug 2020 17:42:30,1,9.444444,100 
24 Aug 2020 17:42:37,1,14.444444,106 
24 Aug 2020 17:42:37,0,15.277778,111 
24 Aug 2020 17:42:44,1,13.796296,111 
24 Aug 2020 17:42:44,0,16.018519,105 
24 Aug 2020 17:42:51,1,14.259259,104 
24 Aug 2020 17:42:52,0,13.055556,107 
24 Aug 2020 17:42:59,1,15.000000,100 
24 Aug 2020 17:42:59,0,13.981481,106 
24 Aug 2020 17:43:06,1,14.907407,103 
24 Aug 2020 17:43:06,0,15.370370,109 
24 Aug 2020 17:43:13,0,13.425926,110 
24 Aug 2020 17:43:20,0,15.277778,112 
24 Aug 2020 17:43:27,1,16.018519,104 
24 Aug 2020 17:43:27,0,16.203704,111 
24 Aug 2020 17:43:34,1,16.296296,107 
24 Aug 2020 17:43:34,0,16.851852,113 
24 Aug 2020 17:43:41,0,18.055556,109 
24 Aug 2020 17:43:41,1,18.333333,107 
24 Aug 2020 17:43:48,1,19.722222,109 
24 Aug 2020 17:43:48,0,19.629630,110 
24 Aug 2020 17:43:55,0,21.018519,113 
24 Aug 2020 17:43:55,1,20.925926,110 
24 Aug 2020 17:44:02,0,24.166667,106 
24 Aug 2020 17:44:02,1,24.074074,106 
24 Aug 2020 17:44:09,1,25.370370,107 
24 Aug 2020 17:44:09,0,25.925926,101 
24 Aug 2020 17:44:31,1,33.240741,101 
24 Aug 2020 17:44:31,0,33.611111,98 
24 Aug 2020 17:44:38,1,30.462963,99 
24 Aug 2020 17:44:38,0,26.851852,103 
24 Aug 2020 17:44:45,0,33.981481,109 
24 Aug 2020 17:44:45,1,34.166667,102 
24 Aug 2020 17:44:52,1,30.092593,106 
24 Aug 2020 17:44:52,0,34.722222,106 
24 Aug 2020 17:44:59,1,37.037037,104 
24 Aug 2020 17:44:59,0,37.314815,103 
24 Aug 2020 17:45:06,1,38.055556,107 
24 Aug 2020 17:45:06,0,37.777778,107 
24 Aug 2020 17:45:13,1,38.888889,104 
24 Aug 2020 17:45:13,0,39.074074,107 
24 Aug 2020 17:45:21,1,42.037037,103 
24 Aug 2020 17:45:21,0,40.277778,105 
24 Aug 2020 17:45:28,1,40.555556,110 
24 Aug 2020 17:45:28,0,41.666667,105 
24 Aug 2020 17:45:35,1,42.685185,110 
24 Aug 2020 17:45:35,0,43.518519,104 
24 Aug 2020 17:45:42,1,45.000000,102 
24 Aug 2020 17:45:42,0,44.259259,105 
24 Aug 2020 17:45:49,1,43.796296,111 
24 Aug 2020 17:45:49,0,44.629630,107 
24 Aug 2020 17:45:56,0,44.537037,105 
24 Aug 2020 17:45:56,1,44.814815,104 
24 Aug 2020 17:46:03,1,46.944444,103 
24 Aug 2020 17:46:04,0,47.500000,103 
24 Aug 2020 17:46:11,1,47.962963,106 
24 Aug 2020 17:46:11,0,48.240741,106 
24 Aug 2020 17:46:18,0,50.185185,107 
24 Aug 2020 17:46:18,1,50.833333,94 
24 Aug 2020 17:46:25,1,52.129630,107 
24 Aug 2020 17:46:25,0,52.222222,110 
24 Aug 2020 17:46:32,1,53.888889,104 
24 Aug 2020 17:46:32,0,53.888889,104 
24 Aug 2020 17:46:39,0,54.074074,110 
24 Aug 2020 17:46:39,1,54.166667,105 
24 Aug 2020 17:46:47,0,55.370370,106 
24 Aug 2020 17:46:47,1,55.555556,110 
24 Aug 2020 17:46:54,0,55.462963,102 
24 Aug 2020 17:46:54,1,55.185185,110 
24 Aug 2020 17:47:01,0,55.370370,105 
24 Aug 2020 17:47:01,1,55.185185,109 
24 Aug 2020 17:47:08,1,55.648148,102 
24 Aug 2020 17:47:08,0,55.277778,105 
24 Aug 2020 17:47:15,1,57.222222,106 
24 Aug 2020 17:47:23,1,59.351852,105 
24 Aug 2020 17:47:30,1,51.111111,101 
24 Aug 2020 17:47:30,0,53.240741,108 
24 Aug 2020 17:47:37,1,55.925926,88 
24 Aug 2020 17:47:37,0,57.407407,84 
24 Aug 2020 17:47:44,1,53.703704,97 
24 Aug 2020 17:47:44,0,57.222222,85 
24 Aug 2020 17:47:51,0,50.462963,100 
24 Aug 2020 17:47:51,1,54.722222,101 
24 Aug 2020 17:47:59,1,55.277778,104 
