Time,Hydrophone,Value,SignalPower(dBu)
24 Aug 2020 17:41:05,0,1.405000,100 
24 Aug 2020 17:41:21,1,4.150000,104 
24 Aug 2020 17:41:21,0,4.145000,116 
24 Aug 2020 17:41:31,1,2.120000,109 
24 Aug 2020 17:41:31,0,2.075000,116 
24 Aug 2020 17:41:36,1,1.935000,109 
24 Aug 2020 17:41:36,0,1.990000,115 
24 Aug 2020 17:41:42,1,1.895000,112 
24 Aug 2020 17:41:42,0,1.870000,119 
24 Aug 2020 17:41:47,1,1.885000,110 
24 Aug 2020 17:41:47,0,1.910000,112 
24 Aug 2020 17:41:52,0,1.955000,115 
24 Aug 2020 17:41:52,1,1.960000,114 
24 Aug 2020 17:42:08,0,1.870000,106 
24 Aug 2020 17:42:08,1,1.860000,111 
24 Aug 2020 17:42:13,1,2.090000,114 
24 Aug 2020 17:42:13,0,2.075000,109 
24 Aug 2020 17:42:18,1,2.375000,115 
24 Aug 2020 17:42:18,0,2.400000,114 
24 Aug 2020 17:42:24,1,2.430000,109 
24 Aug 2020 17:42:24,0,2.400000,106 
24 Aug 2020 17:42:29,0,2.570000,110 
24 Aug 2020 17:42:29,1,2.540000,119 
24 Aug 2020 17:47:56,0,0.565000,92 
24 Aug 2020 17:50:38,0,6.830000,106 
24 Aug 2020 17:50:44,0,6.485000,98 
24 Aug 2020 17:50:49,1,6.910000,97 
24 Aug 2020 17:50:49,0,6.610000,102 
24 Aug 2020 17:50:55,1,6.760000,98 
24 Aug 2020 17:50:55,0,6.940000,106 
24 Aug 2020 17:51:00,0,6.670000,100 
24 Aug 2020 17:51:00,1,6.585000,99 
24 Aug 2020 17:51:17,1,7.115000,100 
24 Aug 2020 17:51:17,0,7.110000,102 
24 Aug 2020 17:51:23,1,7.275000,99 
24 Aug 2020 17:51:23,0,7.140000,99 
24 Aug 2020 17:51:29,0,7.330000,99 
24 Aug 2020 17:51:34,0,7.445000,101 
24 Aug 2020 17:51:40,1,5.215000,97 
24 Aug 2020 17:51:40,0,6.060000,97 
24 Aug 2020 17:51:51,1,7.290000,90 
24 Aug 2020 17:51:51,0,7.185000,91 
24 Aug 2020 17:51:56,1,7.240000,84 
24 Aug 2020 17:51:56,0,7.235000,92 
24 Aug 2020 17:52:02,0,6.855000,86 
24 Aug 2020 17:52:02,1,7.110000,87 
24 Aug 2020 17:52:07,0,7.925000,80 
24 Aug 2020 17:52:08,1,7.470000,83 
24 Aug 2020 17:52:13,0,6.350000,94 
24 Aug 2020 17:52:13,1,6.415000,94 
24 Aug 2020 17:52:19,1,7.410000,100 
24 Aug 2020 17:52:19,0,7.675000,94 
24 Aug 2020 17:52:24,0,7.035000,98 
24 Aug 2020 17:52:24,1,7.315000,100 
24 Aug 2020 17:52:30,1,7.290000,95 
24 Aug 2020 17:52:30,0,7.285000,94 
24 Aug 2020 17:52:36,0,7.590000,98 
24 Aug 2020 17:52:36,1,7.595000,94 
24 Aug 2020 17:52:41,1,7.540000,95 
24 Aug 2020 17:52:41,0,7.575000,104 
24 Aug 2020 17:52:47,0,7.545000,93 
24 Aug 2020 17:52:47,1,7.550000,89 
24 Aug 2020 17:52:53,1,7.715000,96 
24 Aug 2020 17:52:53,0,7.720000,94 
24 Aug 2020 17:52:58,1,7.815000,88 
24 Aug 2020 17:52:59,0,7.760000,91 
24 Aug 2020 17:53:04,1,7.865000,91 
24 Aug 2020 17:53:04,0,7.885000,93 
24 Aug 2020 17:53:10,1,8.010000,92 
24 Aug 2020 17:53:10,0,8.285000,95 
24 Aug 2020 17:53:16,0,7.705000,95 
24 Aug 2020 17:53:16,1,7.965000,98 
24 Aug 2020 17:53:26,1,8.100000,108 
24 Aug 2020 17:53:26,0,8.100000,102 
24 Aug 2020 17:53:32,1,8.145000,99 
24 Aug 2020 17:53:32,0,8.140000,105 
24 Aug 2020 17:54:58,1,1.425000,110 
24 Aug 2020 17:54:58,0,0.800000,112 
24 Aug 2020 17:55:03,1,1.600000,101 
24 Aug 2020 17:55:03,0,1.595000,99 
24 Aug 2020 17:55:08,1,1.470000,111 
24 Aug 2020 17:55:08,0,1.515000,113 
24 Aug 2020 17:55:14,1,1.830000,106 
24 Aug 2020 17:55:14,0,1.840000,113 
24 Aug 2020 17:55:19,1,1.585000,106 
24 Aug 2020 17:55:19,0,1.540000,106 
24 Aug 2020 17:55:24,1,1.610000,106 
24 Aug 2020 17:55:24,0,1.625000,105 
