year,carapace.width,immature,mature
2004,0,0,0
2004,1,0,0
2004,2,0,0
2004,3,0,0
2004,4,0,0
2004,5,0,0
2004,6,0,0
2004,7,0,0
2004,8,0,0
2004,9,0.624504612,0
2004,10,0.30593541,0
2004,11,1.632877514,0
2004,12,3.105053329,0
2004,13,13.4599631,0
2004,14,20.03131375,0
2004,15,12.90551334,0
2004,16,15.93945594,0
2004,17,29.15990097,0
2004,18,70.10634011,0
2004,19,108.1853051,0
2004,20,111.6869252,0
2004,21,82.16573949,0
2004,22,60.46180526,0
2004,23,71.77959381,0
2004,24,89.98379379,0
2004,25,115.1209562,0
2004,26,77.64122182,0
2004,27,77.16081233,0
2004,28,73.16084256,0
2004,29,74.51118318,0
2004,30,66.74080557,0
2004,31,54.60061152,0
2004,32,72.62219384,0
2004,33,61.77428655,0
2004,34,64.15258177,0
2004,35,45.87681894,0
2004,36,54.55502225,0
2004,37,62.31970814,0
2004,38,43.44724488,0
2004,39,54.43651454,0
2004,40,62.59197946,0
2004,41,50.82293585,0.746485806
2004,42,49.21047783,0.516672745
2004,43,66.79104556,0
2004,44,56.36574525,0.253355696
2004,45,60.38975121,1.41058486
2004,46,60.1276536,0
2004,47,49.11036017,1.879968787
2004,48,58.90759305,4.639133484
2004,49,84.43113745,3.452876969
2004,50,79.49131329,7.295832466
2004,51,67.90140369,5.101049428
2004,52,77.88561447,3.8771708
2004,53,82.9572132,10.81038498
2004,54,79.90590159,4.444644321
2004,55,67.27710255,15.5983781
2004,56,74.94053945,21.50929139
2004,57,70.48254473,14.60107163
2004,58,67.33323256,23.79697786
2004,59,72.2940012,34.2859012
2004,60,91.6823903,46.43487507
2004,61,72.71697214,37.74230161
2004,62,102.2313547,50.10871492
2004,63,103.2036642,50.91644613
2004,64,105.2861327,64.53894375
2004,65,111.1681911,60.41929655
2004,66,130.3874818,59.49722705
2004,67,136.7905754,69.11779765
2004,68,150.4021579,70.62500864
2004,69,136.8582159,75.47751159
2004,70,159.781861,63.50864425
2004,71,137.472092,69.30942738
2004,72,148.6200014,86.33152211
2004,73,150.2779205,83.40324995
2004,74,128.2819293,95.32180925
2004,75,130.5748838,87.41271869
2004,76,140.1181479,102.4396369
2004,77,142.5613906,94.39101691
2004,78,144.4038787,84.72706711
2004,79,149.7438448,108.8654469
2004,80,151.6501822,87.24221857
2004,81,157.0689739,78.87959456
2004,82,174.2835313,90.30306456
2004,83,151.2759328,90.51841608
2004,84,167.3984592,108.0123817
2004,85,166.6576018,103.6583417
2004,86,180.7695559,105.9138805
2004,87,172.3369019,119.0510413
2004,88,179.2330819,117.782969
2004,89,164.2626173,102.9646466
2004,90,192.0708188,120.4317763
2004,91,188.4467726,108.9720876
2004,92,159.0760963,150.6331686
2004,93,183.209392,114.2202013
2004,94,168.2332032,125.7995832
2004,95,157.4762974,102.5922064
2004,96,172.2097889,104.8726041
2004,97,156.9021146,99.04141647
2004,98,154.7286496,87.26352668
2004,99,122.158473,113.1644144
2004,100,110.70913,101.5393512
2004,101,112.8428429,106.4472611
2004,102,79.87593928,105.4748757
2004,103,73.4586368,98.15272494
2004,104,63.98614092,129.0118829
2004,105,40.98176236,139.388186
2004,106,39.93724179,122.2758849
2004,107,38.81869701,122.5226799
2004,108,28.22517302,146.759055
2004,109,13.33875328,123.8513599
2004,110,20.40371488,139.2147498
2004,111,8.339667197,116.4161509
2004,112,3.184430037,126.760428
2004,113,9.772823014,100.4334343
2004,114,2.403236435,97.90775717
2004,115,1.344605249,112.6077319
2004,116,0,115.1440822
2004,117,2.577778303,115.0966821
2004,118,0.266302989,78.03528719
2004,119,0,102.3132612
2004,120,0,57.77406616
2004,121,0,56.26283597
2004,122,0,57.81142955
2004,123,0,49.82709582
2004,124,0,35.11436261
2004,125,0,24.40845473
2004,126,0,37.02280619
2004,127,0,22.07563247
2004,128,0,24.83555758
2004,129,0,19.92451726
2004,130,0,12.08810311
2004,131,0,10.42354984
2004,132,0,10.45288375
2004,133,0,10.5705274
2004,134,0,9.091485119
2004,135,0,5.454432524
2004,136,0,1.8657034
2004,137,0,4.392415504
2004,138,0,1.131871023
2004,139,0,1.606246621
2004,140,0,0.565356258
2004,141,0,1.608215796
2004,142,0,1.787160197
2005,0,0,0
2005,1,0,0
2005,2,0,0
2005,3,0,0
2005,4,0,0
2005,5,1.806175676,0
2005,6,0,0
