year,tow.id,touchdown,liftoff
2019,GP354F,-0.285624475,6.610348773
2019,GP351F,-1.145971731,6.304168266
2019,GP353FR,-0.109264064,13.33990703
2019,GP352F,0.231341938,11.67654189
2019,GP350F,-0.298124341,7.948126886
2019,GP346F,-0.437916056,7.21625175
2019,GP342F,-0.782985084,6.871182721
2019,GP323F,-0.697637728,6.49889112
2019,GP334A3,-0.344269786,5.618231101
2019,GP344F,-0.852881325,7.443404631
2019,GP341F,-0.343332698,9.886877158
2019,GP335F,-0.48298557,7.371182265
2019,GP331F,-0.300798094,7.396286384
2019,GP325F,-0.602291175,6.827154375
2019,GP326F,-0.664999474,6.571668269
2019,GP315F,-0.292221426,6.038335072
2019,GP324F,-0.625624446,7.190904495
2019,GP313F,-0.151041129,6.755209899
2019,GP320F,-3.0233324,15.54917036
2019,GP312F,0.259375777,16.6217046
2019,GP316F,1.574861841,12.96114826
2019,GP295F,-0.271353726,7.165105714
2019,GP293F,1.405486959,16.63007256
2019,GP282F,-0.26156166,18.40673973
2019,GP273F,-0.12333276,7.83333509
2019,GP269F,-0.757082504,16.36292004
2019,GP260F,-1.669791033,11.92062766
2019,GP250F,-0.495242307,13.70819731
2019,GP251A2,-0.121041006,9.79958547
2019,GP237F,-2.000346418,16.39660076
2019,GP235F,1.982431355,16.78479467
2019,GP208F,-0.174999487,7.554168329
2019,GP207F,0.207778309,7.153334898
2019,GP227F,-0.446145294,7.332918364
2019,GP230F,-0.279166128,7.604168379
2019,GP249F,-0.194999494,6.760001541
2019,GP243F,-0.201318873,6.786459944
2019,GP261F,-0.085447903,5.797049498
2019,GP257F,-0.12955776,6.520862693
2019,GP278F,-0.416918886,6.557671421
2019,GP287F,-0.029545131,6.678788838
2019,GP290F,-0.186767336,7.301200545
2019,GP303F,-0.180435298,6.728088083
2019,GP300F,-0.234800841,5.426847422
2019,GP281F,-0.109090553,6.146033145
2019,GP258F,-0.604242087,6.338839379
2019,GP247F,-0.075599391,6.522078001
2019,GP223F,-0.253752825,6.592040121
2019,GP216F,-5.026088666,1.86299027
2019,GP195F,-0.079734517,6.649458039
2019,GP205F,0.34902493,7.027264199
2019,GP213F,-0.315113253,6.651080588
2019,GP228F,-0.220391058,6.917709366
2019,GP242F,-0.419967883,6.660307408
2019,GP253F,-0.441066348,6.57236866
2019,GP239A1,-0.155182557,5.364675921
2019,GP224F,-0.465043844,5.932598807
2019,GP222F,-0.671593704,6.823179733
2019,GP211F,-0.197603774,6.119896824
2019,GP194F,-0.323367714,6.070850063
2019,GP186F,-0.226379055,6.621733968
2019,GP182F,-0.163228809,6.327084305
2019,GP199F,1.233542302,6.314508692
2019,GP219F,-0.141006533,5.843971938
2019,GP212F,-0.146893569,6.028043885
2019,GP196F,-0.199999372,6.395556808
2019,GP159F,-0.415353174,6.465682831
2019,GP184A3,-0.308648627,6.281847578
2019,GP202A2,-0.287925756,6.095597575
2019,GP198A1,-0.103433832,5.899133024
2019,GP206F,-0.229784998,5.829281232
2019,GP233F,-0.102256585,6.871781323
2019,GP220F,-0.152414413,6.574391779
2019,GP226F,0.098333741,5.47083425
2019,GP240A2,-0.183036266,6.446481407
2019,GP234F,-0.431732618,6.275805896
2019,GP214F,-0.642518573,7.024095158
2019,GP192F,-0.214412523,5.986200438
2019,GP197F,-0.117780626,6.639761049
2019,GP189A1,-0.269118938,6.447898743
2019,GP162F,-0.184002199,6.436654994
2019,GP174F,-0.197865849,6.426238314
2019,GP170F,-0.275596252,6.148870897
2019,GP154F,-0.119062196,6.347674527
2019,GP133F,-0.322000911,6.910913284
2019,GP141F,-0.450346906,6.182772409
2019,GP128A2,-0.155050136,6.279470676
2019,GP094F,-0.204014522,6.77274119
2019,GP099F,-0.255012293,6.65284821
2019,GP123F,-0.194096912,6.280019863
2019,GP147F,-0.174242067,6.627778779
2019,GP149F,-0.118939036,6.566415133
2019,GP158F,-0.264949179,6.203267973
2019,GP176F,-0.373058358,6.2
2019,GP179F,-0.251448512,6.115370273
2019,GP163F,-0.281893601,6.853466923
2019,GP150A2,-0.116363268,6.713940409
2019,GP127F,-0.291287482,6.575253572
2019,GP125F,-0.581117081,6.684720097
2019,GP113F,-0.594128483,7.058542696
2019,GP084A2,-0.224999575,6.600001072
2019,GP077F,-0.290378192,6.649079536
2019,GP068F,-0.814696532,6.673890036
2019,GP049A2,0.507273155,5.24394027
2019,GP061F,-0.230018519,7.103410205
2019,GP076F,-0.202461731,5.685758523
2019,GP080A1,-0.331189579,7.031847735
2019,GP088F,-0.202101834,7.026194306
2019,GP106F,-0.321495801,6.889963216
2019,GP105A2,-0.334406176,6.919698046
2019,GP124F,-0.224109416,6.84695186
2019,GP097F,-0.451666226,6.950834475
2019,GP079F,-0.431287431,7.812008804
2019,GP090F,-0.310416218,8.290436869
2019,GP067A1,-0.245517228,7.378915312
2019,GP066F,-0.369895354,7.951598489
2019,GP050F,-0.394444005,7.103334482
2019,GP048F,-0.164671285,7.089145689
2019,GP046F,-0.801161169,6.425676637
2019,GP044F,0.272014444,5.998403875
2019,GP025F,-0.373484238,6.445550498
2019,GP036F,-0.124254498,5.554849576
2019,GP026F,-0.236868102,6.64823356
2019,GP024F,-0.385409759,6.731522733
2019,GP016F,-0.366410367,6.815020237
2019,GP023F,-0.487878295,8.585519029
2019,GP019F,-0.277461666,7.942236082
2019,GP018F,-0.269942765,6.57295561
2019,GP028F,0.101111534,6.774445499
2019,GP032F,-0.285176358,6.77192027
2019,GP040F,-0.385302624,5.675663859
2019,GP022F,-0.374355582,9.095818926
2019,GP030F,-0.654683875,8.520620024
2019,GP042F,-0.388231943,6.279445456
2019,GP052F,-0.508263441,8.189237383
2019,GP051F,-0.176098044,7.35765267
2019,GP041F,-0.289658573,8.382387703
2019,GP031F,-0.366145207,6.123438741
2019,GP039F,-0.270094318,6.762718848
2019,GP045F,-0.385163662,7.611033434
2019,GP053F,-0.009393516,6.748788942
2019,GP009F,-0.250056415,6.537115945
2019,GP008F,-0.224734408,8.253928011
2019,GP006F,-0.452490095,7.815929249
2019,GP002F,-0.205794848,6.236989853
2019,GP001F,-0.172726551,5.812274015
2019,GP003F,-0.063635685,5.210228451
2019,GP004F,-0.010757123,5.283589969
2019,GP005F,-0.501811409,6.096882397
2019,GP007F,-0.341903005,6.82852381
2019,GP011F,-0.294955374,7.341674137
2019,GP010F,-0.348528604,6.946541532
2019,GP012F,-0.26810561,6.460379875
2019,GP013F,-0.165195242,5.416023721
2019,GP015F,-0.318939036,5.914331756
2019,GP017F,-0.186410553,7.852652709
2019,GP014A1,-0.357070248,6.814748613
2019,GP020F,-0.460062724,5.809003526
2019,GP021F,-1.071337994,6.064110914
2019,GP037F,-0.315441534,6.404868446
2019,GP055F,-0.276401155,5.54243778
2019,GP071F,-0.365738225,6.003069196
2019,GP029F,-0.228879049,6.353905666
2019,GP058F,-0.188263439,6.187703074
2019,GP059A1,-0.341139091,5.607093796
2019,GP073F,-0.277916255,5.295834273
2019,GP065F,-2.773853715,9.500209947
2019,GP057F,-0.200454063,7.098637537
2019,GP034F,-0.281675747,6.773609012
2019,GP033F,-0.360971807,5.956882327
2019,GP027F,-0.252509036,6.00175292
2019,GP038A1,-0.239140992,6.997021309
2019,GP056F,-0.226041253,7.52597337
2019,GP074F,-0.418736929,7.584597162
2019,GP083F,-0.188534957,6.812349544
2019,GP096A2,-0.253440228,7.742646388
2019,GP107A1,-0.712423884,5.732614605
2019,GP078F,-0.325681406,6.615985918
2019,GP064F,-0.275908688,7.506377402
2019,GP054F,-0.248244613,6.724533826
2019,GP035F,-0.338108785,5.921898121
2019,GP072F,-0.369159996,6.831692959
2019,GP085F,-0.378004652,9.145907235
2019,GP081F,-0.165716074,12.67826873
2019,GP098F,-1.554797441,13.97017878
2019,GP120F,-0.222439547,10.83612526
2019,GP109F,0.246127375,14.08378967
2019,GP122F,0.502651924,11.78087269
2019,GP121F,-0.350605606,11.33979323
2019,GP142F,-0.412638386,14.35007135
2019,GP156F,0.748277008,15.51094255
2019,GP139F,-0.377777253,11.5406961
2019,GP134A2,-0.258683311,8.799755047
2019,GP115F,-0.334652391,6.470285123
2019,GP112F,-0.390321589,7.545266284
2019,GP086F,-0.384668069,6.420843939
2019,GP089F,-0.42367387,6.707576805
2019,GP103F,-0.387878436,6.386743417
2019,GP130A2,-0.645757074,5.649073068
2019,GP138F,-1.430018563,8.530067607
2019,GP166F,-0.413418205,9.269650894
2019,GP187F,0.73249412,12.29193019
2019,GP203F,0.100025648,11.1556075
2019,GP181F,-0.34630649,6.762185344
2019,GP165F,-0.219444124,5.379584184
2019,GP152F,-0.697916281,6.870834435
2019,GP153F,-0.357777385,6.020000997
2019,GP169F,-0.43914099,7.148612254
2019,GP180F,-0.563029888,7.61875119
2019,GP185F,-0.360075363,6.340834362
2019,GP221A3,-0.516009666,8.698094742
2019,GP191A1,-0.311350617,6.437308481
2019,GP177F,-0.526287465,6.53257684
2019,GP164F,-0.341950363,6.217832455
2019,GP151F,-0.412423891,6.346951749
2019,GP126F,-0.478320285,7.201639407
2019,GP114F,-0.294961708,6.15566706
2019,GP075F,-0.337777412,5.555834257
2019,GP101F,-0.237878381,7.652037139
2019,GP082F,-0.378913743,7.951484773
2019,GP060F,-0.360416317,6.136459298
2019,GP062F,-0.315037532,5.410445964
2019,GP069F,-0.336363286,5.579167578
2019,GP092F,-0.522111348,6.726468884
