variable,group,mean,std. dev.,2.50%,25.00%,median,75.00%,97.50%
Commercial SC,crab,0.05,0.10,-0.13,-0.01,0.05,0.13,0.23
Immature Male SC,crab,0.19,0.15,-0.11,0.09,0.19,0.29,0.47
Mature Male SC,crab,0.02,0.08,-0.14,-0.04,0.02,0.08,0.18
Immature Female SC,crab,0.43,0.22,0.01,0.28,0.43,0.57,0.87
Mature Female SC,crab,0.45,0.16,0.15,0.35,0.44,0.55,0.77
Lesser Toad Crab,crab,-0.58,0.40,-1.39,-0.84,-0.56,-0.31,0.15
Atlantic cod,fish,0.08,0.15,-0.23,-0.02,0.08,0.18,0.37
American plaice,fish,-0.10,0.11,-0.33,-0.17,-0.09,-0.02,0.13
Yellowtail flounder,fish,0.00,0.41,-0.85,-0.26,0.01,0.27,0.80
Sea potato,invertebrate,0.21,0.71,-1.17,-0.25,0.22,0.64,1.63
Whelk,invertebrate,-0.05,0.29,-0.63,-0.24,-0.05,0.14,0.55
Mudstar,invertebrate,-1.38,0.59,-2.55,-1.75,-1.37,-0.98,-0.21
Purple sunstar,invertebrate,0.41,0.35,-0.28,0.18,0.41,0.63,1.10
Spiny sunstar,invertebrate,0.02,0.16,-0.31,-0.09,0.02,0.13,0.34
Sea urchin,invertebrate,0.90,0.20,0.51,0.78,0.91,1.04,1.27
