Time,Hydrophone,Value,SignalPower(dBu)
07 Sep 2020 19:44:49,1,0.330000,80 
07 Sep 2020 19:44:49,0,2.025000,97 
07 Sep 2020 19:45:00,0,10.615000,106 
07 Sep 2020 19:45:01,1,13.085000,112 
07 Sep 2020 19:45:11,0,8.920000,106 
07 Sep 2020 19:45:11,1,8.920000,103 
07 Sep 2020 19:45:27,0,7.880000,109 
07 Sep 2020 19:45:27,1,7.910000,107 
07 Sep 2020 19:46:07,1,0.000000,84 
07 Sep 2020 19:51:25,1,11.460000,105 
07 Sep 2020 19:51:25,0,12.740000,108 
07 Sep 2020 19:51:36,1,12.165000,116 
07 Sep 2020 19:51:36,0,12.135000,118 
07 Sep 2020 19:51:52,0,11.915000,118 
07 Sep 2020 19:51:52,1,11.865000,116 
07 Sep 2020 19:52:08,1,15.465000,119 
07 Sep 2020 19:52:09,0,15.420000,113 
07 Sep 2020 19:52:14,1,7.945000,109 
07 Sep 2020 19:52:14,0,7.960000,118 
07 Sep 2020 19:52:30,1,8.620000,116 
07 Sep 2020 19:52:30,0,8.625000,118 
07 Sep 2020 19:53:21,1,4.275000,112 
07 Sep 2020 19:53:21,0,4.290000,120 
07 Sep 2020 19:53:31,1,4.125000,120 
07 Sep 2020 19:53:31,0,4.100000,120 
