year,carapace.width,immature,mature
2004,0,0,0
2004,1,0,0
2004,2,0,0
2004,3,0,0
2004,4,0,0
2004,5,0,0
2004,6,0,0
2004,7,0,0
2004,8,0,0
2004,9,0,0
2004,10,3.042842955,0
2004,11,1.599346187,1.431426306
2004,12,8.552285725,0
2004,13,12.9351987,0
2004,14,19.58955408,0
2004,15,10.73793094,0
2004,16,11.43507986,0
2004,17,19.71685996,0
2004,18,69.17950693,0
2004,19,109.4858421,0
2004,20,112.6215374,0
2004,21,59.62262543,0
2004,22,49.14176391,0
2004,23,68.87311191,0
2004,24,93.43201705,0
2004,25,131.0445776,1.169249031
2004,26,125.0304098,0
2004,27,104.340042,0
2004,28,79.33225967,0.624504612
2004,29,83.17793859,0
2004,30,66.46968121,0
2004,31,71.18968048,1.306299039
2004,32,64.74652637,0
2004,33,71.55050927,1.845875658
2004,34,67.11971191,0
2004,35,50.21656156,0
2004,36,49.30461048,1.845875658
2004,37,58.79056322,8.622343738
2004,38,52.67413055,5.456992682
2004,39,58.41005855,16.00584637
2004,40,64.23552118,49.72409789
2004,41,49.42967471,39.68019121
2004,42,55.01552167,94.06382632
2004,43,46.93843641,90.9334757
2004,44,55.65317057,113.3842747
2004,45,53.21725121,142.5099772
2004,46,43.94356567,129.9781557
2004,47,42.48540472,154.5805504
2004,48,52.32521914,185.9419043
2004,49,64.80125403,244.7236086
2004,50,63.80379722,264.2518327
2004,51,76.58462083,288.0996823
2004,52,70.31985486,329.20142
2004,53,85.86782806,335.8564089
2004,54,83.7968329,368.7365484
2004,55,51.18424833,422.7639813
2004,56,48.51321446,433.0350893
2004,57,21.77623471,422.2258112
2004,58,32.97021829,441.7917445
2004,59,31.4087821,475.5607307
2004,60,27.73481175,486.7182764
2004,61,15.6016393,425.3381377
2004,62,15.70539154,412.6312817
2004,63,19.29493715,426.427347
2004,64,12.63936291,395.1822544
2004,65,5.465629251,343.0407745
2004,66,2.466636146,320.8145822
2004,67,9.893716302,274.5158916
2004,68,0,250.6624472
2004,69,3.713094071,170.909814
2004,70,0,180.9415506
2004,71,5.843656803,117.2256995
2004,72,1.421470372,85.32080457
2004,73,0.681461653,75.80291306
2004,74,3.926516758,72.08339772
2004,75,0,45.13488236
2004,76,0,38.85068734
2004,77,0,38.99935462
2004,78,0,29.53175059
2004,79,0,15.80485882
2004,80,0,16.37679581
2004,81,0,16.59312192
2004,82,0,10.56597503
2004,83,0,9.061623519
2004,84,0,5.732035747
2004,85,0,2.687966994
2004,86,0,1.981733298
2004,87,0,0.554140256
2004,88,0,0.414394799
2004,89,0,0
2004,90,0,0.652382542
2004,91,0,0
2004,92,0,0
2004,93,0,0
2004,94,0,0
2004,95,0,0
2004,96,0,0
2004,97,0,0
2004,98,0,0
2004,99,0,0
2004,100,0,0
2004,101,0.561201618,0
2005,0,0,0
2005,1,0,0
2005,2,0,0
2005,3,0,0
2005,4,0,0
2005,5,0,0
2005,6,0,0
2005,7,0,0
2005,8,0,0
2005,9,0,0
2005,10,1.384282305,0
2005,11,0,0
2005,12,0,0
2005,13,4.337900046,0
2005,14,12.83695901,0
2005,15,10.33655911,1.45461316
2005,16,5.504857577,0
2005,17,17.43320679,0
2005,18,50.61986916,0
2005,19,105.8391155,0
2005,20,127.2351326,0.734110904
2005,21,121.741219,0
2005,22,68.67056362,0
2005,23,47.63530023,0
2005,24,73.16040895,0
2005,25,122.0579405,0
2005,26,137.4104587,0.734110904
2005,27,219.4540569,0
2005,28,194.4857986,0.791129226
2005,29,148.3923587,1.910481846
2005,30,110.7391033,0
2005,31,103.2624203,0
2005,32,97.95066046,1.776640728
2005,33,95.80742796,0
2005,34,93.08621222,0
2005,35,118.3637808,1.001013025
2005,36,100.1313708,0
2005,37,79.17169083,0
2005,38,82.95535183,0
2005,39,74.78626968,2.58232863
2005,40,98.63881384,6.668364324
2005,41,88.67098727,14.26723879
2005,42,78.15502651,16.57041483
2005,43,111.7134919,27.15238897
2005,44,82.82479203,37.96475441
2005,45,87.90656611,32.83344502
2005,46,94.55175854,57.29529171
2005,47,90.78836126,60.9439024
2005,48,98.19184443,78.4907467
2005,49,61.45992557,90.87543532
2005,50,89.21512973,127.6737428
2005,51,77.48325387,167.0829837
2005,52,69.7466684,178.3754862
2005,53,61.76815733,146.0213135
2005,54,58.16103335,222.0979873
2005,55,43.41737498,226.142895
