Date,Esonar file,GPA_lat_end,GPA_lat_start,GPA_lon_end,GPA_lon_start,GPA_time_end,GPA_time_start,GPNumber,Start_odii_Tilt_file,Tow Quality,Trawl Number,Zone
11.07.2019,GP004A1.TXT,4619.6072,4619.5842,06158.526,06158.561,12:44:36,12:44:21,GP004A1,H941GP004A1,Bad,8,Zone12
12.07.2019,GP354F.TXT,4722.9132,4723.0837,06023.410,06023.319,05:17:49,05:12:48,GP354F,H941GP354F,Good,1,ZoneF
12.07.2019,GP351F.TXT,4725.8858,4725.7918,06028.036,06027.820,06:59:56,06:55:00,GP351F,H941GP351F,Good,2,Zone12
12.07.2019,GP353F.TXT,4731.2936,4731.1775,06024.029,06023.825,08:48:28,08:43:30,GP353F,H941GP353F,Bad,3,ZoneF
12.07.2019,GP353FR.TXT,4731.4434,4731.3165,06024.335,06024.158,09:56:52,09:02:05,GP353FR,H941GP353FR,Good,4,ZoneF
12.07.2019,GP352F.TXT,4733.4279,4733.2852,06026.452,06026.296,11:15:13,10:22:54,GP352F,H941GP352F,Good,5,ZoneF
12.07.2019,GP350F.TXT,4730.6756,4730.5341,06029.091,06028.927,12:37:49,12:32:50,GP350F,H941GP350F,Good,6,ZoneF
12.07.2019,GP346F.TXT,4728.9302,4728.8149,06036.695,06036.506,14:01:44,13:56:42,GP346F,H941GP346F,Good,7,ZoneF
12.07.2019,GP342F.TXT,4734.2210,4734.0967,06041.679,06041.499,15:12:20,15:07:20,GP342F,H941GP342F,Good,8,ZoneF
12.07.2019,GP334F.TXT,4733.7822,4733.6760,06052.000,06051.781,16:37:22,16:32:21,GP334F,H941GP334F,Bad,9,ZoneF
12.07.2019,GP334A1.TXT,4739.9441,4739.8138,06052.473,06052.295,17:56:26,17:51:26,GP334A1,H941GP334A1,Bad,10,ZoneF
12.07.2019,GP323F.TXT,4737.6218,4737.5321,06100.376,06100.156,19:53:57,19:48:54,GP323F,H941GP323F,Good,11,ZoneF
13.07.2019,GP334A2.TXT,4739.6855,4739.5970,06045.553,06045.313,05:47:57,05:42:53,GP334A2,H941GP334A2,Bad,1,ZoneF
13.07.2019,GP334A3.TXT,4733.5681,4733.5041,06050.759,06050.515,09:13:16,09:08:14,GP334A3,H941GP334A3,Good,2,ZoneF
13.07.2019,GP344F.TXT,4744.5269,4744.4165,06040.677,06040.461,11:28:02,11:23:02,GP344F,H941GP344F,Good,3,ZoneF
13.07.2019,GP341F.TXT,4749.0192,4748.9032,06041.532,06041.330,14:11:22,14:06:21,GP341F,H941GP341F,Good,4,ZoneF
13.07.2019,GP335F.TXT,4746.2328,4746.1303,06050.066,06049.855,15:48:27,15:43:25,GP335F,H941GP335F,Good,5,ZoneF
13.07.2019,GP331F.TXT,4750.0042,4749.8498,06054.072,06053.937,16:47:53,16:42:53,GP331F,H941GP331F,Good,6,ZoneF
