"variable","description","polygon","area","mean.sample","sd.sample","n","mean","sd","lowerCI","upperCI","mean.CV","mad.CV","sd.CV"
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","gulf",57842.8460132939,150.462607643568,343.388191116167,352,146.421768662822,14.5516865278234,119.973442838211,176.952942455514,-2.59862117876426e-05,0.00266213157961113,0.00548283634227987
"MMGE95SC12","Commercial crab, shell condition 1,2","gulf",57842.8460132939,106.257467027737,173.99672501582,352,105.102661581906,7.81538062424158,90.616787067447,121.233885335729,-3.21347434900727e-05,0.00155455584099429,0.00278742124047201
"MMGE95SC3","Commercial crab, shell condition 3","gulf",57842.8460132939,29.615453649159,49.9962671742652,352,28.8454938790041,2.37908096293205,24.4636085643313,33.7824540634593,-2.59352105874573e-06,0.000497834881345338,0.000769298294603151
"MMGE95SC4","Commercial crab, shell condition 4","gulf",57842.8460132939,10.1628437300971,32.0773500500913,352,9.59899803220939,1.50479998532711,6.98752246247401,12.8701776121603,1.76849171102271e-06,0.000196867102226516,0.000412672998611525
"MMGE95SC5","Commercial crab, shell condition 5","gulf",57842.8460132939,0.817907422753672,4.5205958323756,352,0.791177692399155,0.23562215405529,0.428242190590971,1.34262152596404,1.8795344188461e-06,2.73991149252345e-05,8.02856769956997e-05
"MM","Mature males","gulf",57842.8460132939,384.427105123363,388.241802268158,352,379.074961041553,16.8199969841477,347.174458557669,413.093377575162,-2.02183299969919e-05,0.00377743762791276,0.0055583178799733
"MMGE95","Commercial crab","gulf",57842.8460132939,146.853671829747,200.051553811701,352,144.132694412427,9.33797316794953,126.696208000161,163.283500399098,-2.05905430350044e-05,0.00184329906991595,0.00306953660878037
"MML95","Sub-legal mature males","gulf",57842.8460132939,237.573433293616,260.415952172812,352,234.353998765537,10.5442823659822,214.365308060087,255.68894501202,-7.17049619431066e-06,0.00246815854500111,0.0035820439385552
"FI","Immature females","gulf",57842.8460132939,511.431647506427,1007.73064427268,352,500.434391226594,40.1237130382642,426.400347849277,583.571172033596,2.68993816342114e-05,0.00790662200530765,0.0159279617713082
"FIGNO","Immature females, orange gonads","gulf",57842.8460132939,178.48114851987,347.850294237087,352,174.737053413808,13.7884022913415,149.270319671416,203.282838539964,-1.26673067977591e-05,0.00301673549803751,0.00556654791715981
"FM","Mature females","gulf",57842.8460132939,731.18771378655,1277.14733098714,352,716.913682036217,54.4982762343434,616.030588527046,829.524116897696,-7.03829369657938e-05,0.0118205212261909,0.0189468234008786
"FP","Primiparous females","gulf",57842.8460132939,195.362862550971,400.264130011265,352,197.61171254141,17.4022019972962,165.699382946991,233.856530074518,6.48186168047069e-05,0.00362334873362609,0.00627115391546701
"FMULT","Multiparous females","gulf",57842.8460132939,535.824851235579,1211.40978890883,352,523.343738943741,53.9206150638908,425.62327591814,636.740965585995,-0.000246662732248639,0.0107837932180627,0.0185038783164866
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","gulf",57842.8460132939,184.360873661361,318.476013333081,352,190.65712473706,11.8110798865033,168.554523123209,214.833575837286,4.94081808764326e-05,0.00285260598603344,0.00502129892903112
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","gulf",57842.8460132939,184.751500182772,293.88189791274,352,185.954281079126,12.9838274164367,161.803973817187,212.67235865437,-2.23378307337521e-05,0.00269036081346226,0.00442828950227333
"MIGE83","Immature males, cw >= 83mm","gulf",57842.8460132939,189.45254931661,332.28901572549,352,185.661294229334,16.0459220722864,156.198371261336,219.045520049349,-2.87691960334052e-05,0.00294369034365775,0.00518325740689022
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","gulf",57842.8460132939,165.953773440293,301.064426814254,352,163.872918685546,14.46076153332,137.358396926585,193.994952096721,-2.00915994585806e-05,0.00260175141952986,0.00470410360068725
"MIGE83L98SC345","Skip-moulter males, cw >= 83mm, cw < 98mm","gulf",57842.8460132939,56.3396208724921,134.405568475092,352,55.3886522812053,6.79435725449677,43.2666228367974,69.8557835817453,-2.542916858759e-05,0.00105511593433869,0.00221937016920619
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","zone12",48074.5522582699,149.702026260567,308.196066541469,291,144.23592856137,12.7392681979411,120.879290713535,170.773423674705,-1.99760009326117e-05,0.00316969615385283,0.00602860796083305
"MMGE95SC12","Commercial crab, shell condition 1,2","zone12",48074.5522582699,91.6530090805248,136.337172846888,291,90.7002744033006,6.75802132002543,78.175680491927,104.650461906325,-4.83388432064726e-05,0.00153877921034088,0.00253606889218546
"MMGE95SC3","Commercial crab, shell condition 3","zone12",48074.5522582699,23.0565808870685,38.670900981548,291,23.113478282106,2.08651389387612,19.2938363439169,27.4654827308432,-1.56500479420059e-05,0.000464932431040057,0.000701095877387462
"MMGE95SC4","Commercial crab, shell condition 4","zone12",48074.5522582699,9.24263939277877,28.7111899160992,291,8.85004717946438,1.33790103720122,6.51756144579464,11.748772942247,-3.09837165909998e-06,0.000209700001163635,0.000439431348640955
"MMGE95SC5","Commercial crab, shell condition 5","zone12",48074.5522582699,0.650798261807246,3.50913072213279,291,0.684982611081086,0.199957762244085,0.375408569800335,1.15169906274419,4.03055445110272e-07,2.65394488841158e-05,7.60554837630936e-05
"MM","Mature males","zone12",48074.5522582699,337.467465703204,320.373413585891,291,330.468984931579,14.8938499550875,302.236483135222,360.606276799087,1.92435508257696e-05,0.00388351515901722,0.0055096849767842
"MMGE95","Commercial crab","zone12",48074.5522582699,124.603027622179,156.520709183165,291,123.286424254305,8.22397252767886,107.952752930751,140.17436228768,-4.32303573629578e-05,0.00178337913828725,0.00278084206132825
"MML95","Sub-legal mature males","zone12",48074.5522582699,212.864438081024,224.588531330745,291,207.425233581915,9.37778839907663,189.65077948295,226.402781552712,4.15508069235925e-05,0.00266350155170627,0.00380785947543311
"FI","Immature females","zone12",48074.5522582699,503.155011079667,900.29940920299,291,486.190439043478,34.577585537318,421.939545302289,557.405801709897,6.97324764539775e-05,0.00935428856736871,0.0175025322989641
"FIGNO","Immature females, orange gonads","zone12",48074.5522582699,176.280275558975,310.333999455752,291,169.891870808889,12.1533846967504,147.316141887024,194.929724980344,3.71063398994139e-05,0.00357822749435468,0.00611489708573381
"FM","Mature females","zone12",48074.5522582699,611.954420636121,1046.90853956007,291,612.690221359813,48.0246087687274,523.953987707338,712.079756323425,-0.000318757498006271,0.0117542050718313,0.0187057353354201
"FP","Primiparous females","zone12",48074.5522582699,173.692281527608,333.971558273034,291,175.028812364816,14.9292612664908,147.592015241057,206.066785646857,0.000239920676500183,0.00390899829441284,0.00645396060044794
"FMULT","Multiparous females","zone12",48074.5522582699,438.262139108512,989.148890640825,291,442.595023034495,47.400723109654,356.967336598732,542.539847512492,-0.000683531568565601,0.0104930533433383,0.0178965037852073
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","zone12",48074.5522582699,163.506654744434,246.417047137541,291,168.407009033026,10.1064636089222,149.466204077947,189.067132559751,0.000119196074693229,0.00291975853318819,0.00469512024846964
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","zone12",48074.5522582699,152.689928679387,236.303162388774,291,158.337135073711,11.2715813239397,137.393764369744,181.552929274941,-4.04839731470627e-05,0.0025894877774702,0.00431772223300173
"MIGE83","Immature males, cw >= 83mm","zone12",48074.5522582699,152.498290005568,261.940797668917,291,154.147518724423,13.8133773310667,128.847162237128,182.946739057712,-0.000108167709758115,0.00262497848089377,0.00470675827412637
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","zone12",48074.5522582699,132.488900018906,237.990959228634,291,134.834711002192,12.6176882054507,111.796306176768,161.209040969212,-7.60215440878067e-05,0.00229168376987376,0.0042718452076995
"MIGE83L98SC345","Skip-moulter males, cw >= 83mm, cw < 98mm","zone12",48074.5522582699,42.7193536480021,108.125376509942,291,43.6640309783791,5.87527583402384,33.2817546686439,56.266342278679,-6.65085740087758e-05,0.000903361051743703,0.00207769493075879
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","zone19",3813.21275606925,0.731198061522194,1.99663416986746,24,0.790582536222555,2.98794416681667,0.00794758281627375,5.14543037232284,-1.45331502807478e-05,0.000293488191993771,0.000516000495376007
"MMGE95SC12","Commercial crab, shell condition 1,2","zone19",3813.21275606925,5.57817267215457,4.8773092065137,24,6.11694100398705,1.54119164411453,3.64751063346055,9.6458882286661,-0.000173927278441288,0.00104165825097384,0.00133746308954156
"MMGE95SC3","Commercial crab, shell condition 3","zone19",3813.21275606925,2.91028299119038,4.06147292312144,24,2.67922880820664,0.474279472451339,1.86977778951738,3.72245338176321,7.05218090229762e-05,0.000795746547384181,0.00116626658930887
"MMGE95SC4","Commercial crab, shell condition 4","zone19",3813.21275606925,0.657042654942804,1.39397520969931,24,0.533633363418509,0.317589767472425,0.155844632044305,1.34930983069978,3.80675248141361e-05,0.000253543757450381,0.000375445027967322
"MMGE95SC5","Commercial crab, shell condition 5","zone19",3813.21275606925,0.113650833216179,0.556773100443586,24,0.068733656868406,0.0426267324130934,0.0190954981195747,0.178681324923983,1.62344416541191e-05,5.67877103655166e-05,0.000146836886327776
"MM","Mature males","zone19",3813.21275606925,23.5441286382706,17.611834938689,24,24.0399028213829,3.55045977669748,17.8324281074326,31.7163906257697,-0.000211466365564465,0.00327590252398827,0.00377479392927958
"MMGE95","Commercial crab","zone19",3813.21275606925,9.25914915150394,7.29956631165081,24,9.68704832678879,1.90149585343517,6.49342679580418,13.9152050386795,-0.00011391777101638,0.00175452183767249,0.00218584203824276
"MML95","Sub-legal mature males","zone19",3813.21275606925,14.2849794867667,13.6339823522444,24,14.3185823667052,2.27525558420007,10.3769469760674,19.270842169266,-0.000122643051972464,0.0019281228460929,0.00247344173715178
"FI","Immature females","zone19",3813.21275606925,7.34534164996161,14.1428132432972,24,8.50700995443841,7.62063923642819,1.40763236804222,28.5230878680231,3.88298586217366e-05,0.00169566925121739,0.00276672677610845
"FIGNO","Immature females, orange gonads","zone19",3813.21275606925,1.54502382088354,3.58156542166339,24,2.79882259663732,2.86199605818318,0.372771390871768,10.2725044752111,-0.000421461614703518,0.000481717277761189,0.000696815204826806
"FM","Mature females","zone19",3813.21275606925,74.0590157493525,121.728172744515,24,59.1911794375929,11.2752172889574,40.1620705585043,84.1818324904708,0.00435714977416363,0.0202654808131509,0.0282048959193602
"FP","Primiparous females","zone19",3813.21275606925,3.82426731703677,7.09269480304057,24,8.56836082402172,3.34455294906858,3.81552891690565,16.6974936825636,-0.00147540693093535,0.00145682378454788,0.00194598676521147
"FMULT","Multiparous females","zone19",3813.21275606925,70.2347484323157,120.337750178578,24,51.0214967941884,11.2118762522382,32.5584435681068,76.2713852986556,0.00563499505554161,0.0214698245191585,0.0297467677847842
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","zone19",3813.21275606925,5.81291893774993,9.11286407735354,24,7.53696664943581,2.27421965662562,4.0458132488206,12.8689583554232,-0.000510901404656386,0.0016322872524326,0.00236396535274054
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","zone19",3813.21275606925,12.0379142691006,15.0531385305854,24,12.2377181105344,2.59306738368217,7.93922085430827,18.0529891544634,-0.00017222522778431,0.00300747593573888,0.00442545290559049
