"variable","description","polygon","area","mean.sample","sd.sample","n.sample","mean","sd","lowerCI","upperCI","mean.CV","mad.CV","sd.CV"
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","gulf",57842.8460132987,117.104465894224,270.777839812019,353,116.770908648327,11.2845621355344,96.216245293389,140.405416562308,1.10475740737791e-05,0.00200835857564968,0.00401235085175428
"MMGE95SC12","Mature males, cw >= 95mm, shell condition 1,2","gulf",57842.8460132987,106.583850821035,181.410351558571,353,103.484928987339,8.30559097822256,88.1608837290574,120.695128551193,-3.5582444604114e-05,0.0016368724112621,0.00294105521555042
"MMGE95SC3","Mature males, cw >= 95mm, shell condition 3","gulf",57842.8460132987,31.1966202064496,50.7099482203606,353,29.8311302887698,2.431337519265,25.349594808168,34.8732967129022,6.01782676295588e-06,0.000499591678594194,0.000816252780474712
"MMGE95SC4","Mature males, cw >= 95mm, shell condition 4","gulf",57842.8460132987,7.3827656533743,19.9819571548136,353,7.15987319344236,0.93944280971054,5.49527407678305,9.17081977164367,-2.44346556492231e-06,0.000164067608620715,0.000319014807373429
"MMGE95SC5","Mature males, cw >= 95mm, shell condition 5","gulf",57842.8460132987,0.59500606370696,3.50161090327877,353,0.562146993083792,0.191416183651806,0.278034128310975,1.01849362225823,7.45083484189408e-07,2.01297309175898e-05,6.18727983039731e-05
"MM","Mature males","gulf",57842.8460132987,390.095933307892,371.662304716457,353,381.213230117314,15.9631329420942,350.88068519597,413.442966129942,-9.75982467171288e-06,0.00389069106425457,0.005511859436069
"MMGE95","Mature males, cw >= 95mm","gulf",57842.8460132987,145.758242744566,204.410396504973,353,142.543453066354,9.61162940740789,124.632473555249,162.29053437542,-1.38864473858277e-05,0.00192849888341289,0.00329747520098132
"MML95","Mature males, cw < 95mm","gulf",57842.8460132987,244.337690563326,246.027810086003,353,238.539478429661,9.86296820909488,219.790781128285,258.445647078398,9.35297991823536e-09,0.00251252003792782,0.00342103515111011
"FI","Immature females","gulf",57842.8460132987,518.792383259067,974.570665399298,353,507.472368624749,41.6519363421021,430.732269065828,593.883831393801,4.18971958728944e-05,0.00799175967810246,0.015104687914592
"FIGNO","Immature females, orange gonads","gulf",57842.8460132987,133.465035465471,253.095005417483,353,130.596159402267,10.5616655366408,111.118913116583,152.49008858083,1.76414188856085e-06,0.00201225252043736,0.00383811523266623
"FM","Mature females","gulf",57842.8460132987,797.061661769507,1516.90517297696,353,777.373708666769,69.1704926761973,650.619359420471,921.526389936245,-0.000155589702423242,0.0129199753600057,0.0224461432408097
"FP","Primiparous females","gulf",57842.8460132987,142.775051950766,302.925519631188,353,138.596685643847,12.9067676137373,115.022030005306,165.567316584002,-4.73787047009013e-05,0.00260842870068187,0.00470580246953081
"FMULT","Multiparous females","gulf",57842.8460132987,654.286609818741,1470.33771999923,353,638.840737834,69.6838075586496,513.157649786073,785.954864793799,-0.000135510336462645,0.0121793455561214,0.022164890721716
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","gulf",57842.8460132987,182.203702405027,310.951942297737,353,180.919462961744,11.2255780409096,159.914118603297,203.898955496278,3.48798169481886e-05,0.00266756659227834,0.00499883501967831
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","gulf",57842.8460132987,172.266156645595,266.269953068175,353,170.349373432629,12.0173232965013,148.009272167024,195.090535151195,4.11889916922264e-05,0.00265353686191476,0.00440368097302862
"MIGE83","Immature males, cw >= 83mm","gulf",57842.8460132987,209.449777843697,342.649373765157,353,202.980288660177,17.2013324634365,171.354256114356,238.728949212091,4.35912986256566e-05,0.0032210898650175,0.00529782107400676
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","gulf",57842.8460132987,178.371993265283,304.454053584705,353,174.28254873492,14.4948171273831,147.59983691652,204.375228160711,2.29373910259104e-05,0.00282618237057538,0.00481631469524314
"MIGE83L98SC345","Immature males, cw >= 83mm, cw < 98mm, shell condition 3,4,5","gulf",57842.8460132987,61.1978589972702,153.943329732934,353,60.9744038642207,7.94580279612229,46.8850488419445,77.9736074301211,-2.6772402714221e-05,0.00113006067789033,0.00237458109908307
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","zone12",48074.5522582787,115.058546374186,243.168063944063,292,113.6747910434,9.9715045547098,95.384031084832,134.438504233625,1.724978013307e-05,0.0023390847678097,0.00439530838678298
"MMGE95SC12","Mature males, cw >= 95mm, shell condition 1,2","zone12",48074.5522582787,84.9011433960276,117.780991577018,292,86.362504878959,7.13028465099064,73.2305420886872,101.159779662992,-0.000101258927794729,0.00146141625520409,0.00216275246945198
"MMGE95SC3","Mature males, cw >= 95mm, shell condition 3","zone12",48074.5522582787,21.6142018860994,33.7090208645755,292,21.5905981041196,2.11062847945932,17.7495108754541,26.0143136093718,-1.84221790782197e-05,0.000410635252522343,0.000650299897629703
"MMGE95SC4","Mature males, cw >= 95mm, shell condition 4","zone12",48074.5522582787,6.49515734454877,17.1395175370921,292,6.35251266507542,0.834608835600391,4.87387556378294,8.1392445256818,-5.97494037898789e-06,0.000178981593995266,0.000339587098165483
